City_ID,NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64
190,"East San Gabriel CDP, California",06,21096,22956,11931,11025,44.3,43.5,45.7,71374,6391,8432,13311,10354,7086
191,"Eastvale city, California",06,21230,71374,35725,35649,37.2,36.8,38.1,105431,9878,17557,13770,11220,12298
192,"El Cajon city, California",06,21712,105431,50299,55132,34.4,34.5,34.4,44165,4363,5690,4907,4869,5768
193,"El Centro city, California",06,21782,44165,22047,22118,34.8,29.3,41.3,25838,2410,3899,3736,3336,3299
194,"El Cerrito city, California",06,21796,25838,12842,12996,39.7,38.4,41.7,52978,4235,3616,5423,9159,7973
195,"El Dorado Hills CDP, California",06,21880,52978,26495,26483,46.1,47.0,45.3,178988,12419,19489,26589,24663,20881
196,"Elk Grove city, California",06,22020,178988,88285,90703,38.2,36.7,38.5,106913,10308,13180,16702,14470,12439
197,"El Monte city, California",06,22230,106913,55142,51771,38.1,37.1,39.5,31757,3976,3130,4830,3136,3722
198,"El Paso de Robles (Paso Robles) city, California",06,22300,31757,15510,16247,37.2,36.6,37.6,61755,3059,7391,8706,9066,8399
199,"Encinitas city, California",06,22678,61755,30741,31014,44.3,42.3,45.2,150656,11202,21582,22881,20069,17371
200,"Escondido city, California",06,22804,150656,73785,76871,36.7,36.3,37.2,26487,1656,3084,4002,4002,2957
201,"Eureka city, California",06,23042,26487,12999,13488,41.5,41.2,46.3,119710,9705,17233,17000,13583,13692
202,"Fairfield city, California",06,23182,119710,59205,60505,35.3,34.8,35.5,33801,1595,5124,4781,3313,4235
203,"Fair Oaks CDP, California",06,23294,33801,16666,17135,40.9,42.8,38.8,34119,3485,5006,3634,3735,4398
204,"Fallbrook CDP, California",06,23462,34119,17356,16763,36.0,36.4,35.0,64169,5989,11080,9101,7241,5567
205,"Florence-Graham CDP, California",06,24477,64169,32856,31313,30.3,30.5,30.0,51334,5621,7015,6447,5451,6758
206,"Florin CDP, California",06,24498,51334,25776,25558,36.3,35.2,38.9,81212,6487,8559,12896,15002,10215
207,"Folsom city, California",06,24638,81212,42130,39082,40.7,40.9,40.5,210786,20575,33272,31905,27481,21433
208,"Fontana city, California",06,24680,210786,107690,103096,33.0,31.5,34.9,37476,2956,5845,5957,3400,4329
