NAME,state,place,K200101_001E,K200101_002E,K200101_003E,K200103_001E,K200103_002E,K200103_003E,K200104_001E,K200104_003E,K200104_004E,K200104_005E,K200104_006E,K200104_007E
"Bethany city, Oklahoma",40,05700,21517,11203,10314,33.2,28.8,35.5,29201,2800,3309,4109,3498,3189
"Bixby city, Oklahoma",40,06400,29201,13746,15455,33.5,33.1,34.0,117775,8318,15857,15410,15577,15880
"Broken Arrow city, Oklahoma",40,09050,117775,55986,61789,38.6,38.4,39.0,21488,1393,2477,3372,2630,2464
"Del City city, Oklahoma",40,19900,21488,10000,11488,40.0,38.7,43.3,23092,2051,3499,2440,2349,3228
"Duncan city, Oklahoma",40,21900,23092,11323,11769,39.7,37.5,42.7,95334,8429,9882,12850,12883,11641
"Edmond city, Oklahoma",40,23200,95334,47668,47666,38.2,37.2,39.1,48526,4622,7137,5919,4592,5643
"Enid city, Oklahoma",40,23950,48526,25473,23053,35.1,34.3,38.1,26669,1489,3817,4677,2157,2446
"Jenks city, Oklahoma",40,37800,26669,13611,13058,32.1,32.6,31.5,91058,13187,17243,10570,8020,9454
"Lawton city, Oklahoma",40,41850,91058,48006,43052,31.6,30.7,34.1,58142,4010,8276,6596,7219,7808
"Midwest City city, Oklahoma",40,48350,58142,28623,29519,35.2,32.9,37.0,63460,6116,9802,9655,6276,6658
"Moore city, Oklahoma",40,49200,63460,31642,31818,35.0,33.8,36.5,36787,3638,5208,4124,3940,3975
"Muskogee city, Oklahoma",40,50050,36787,17818,18969,34.3,32.7,35.6,20350,1650,3364,2631,1672,2005
"Mustang city, Oklahoma",40,50100,20350,8960,11390,34.3,31.7,36.3,128087,27817,18873,15610,12654,13743
"Norman city, Oklahoma",40,52500,128087,63199,64888,32.5,32.4,32.7,687691,65220,107110,95415,79035,76201
"Oklahoma City city, Oklahoma",40,55000,687691,337948,349743,35.0,34.6,35.5,39259,3954,6614,6093,4779,2643
"Owasso city, Oklahoma",40,56650,39259,19501,19758,31.7,28.8,34.8,25709,2246,3786,3112,2781,2767
"Ponca City city, Oklahoma",40,59850,25709,12388,13321,36.6,36.4,37.1,21782,1611,1827,3829,1802,3175
"Sand Springs city, Oklahoma",40,65300,21782,10272,11510,39.4,34.6,41.6,23116,2181,3391,2616,2290,3215
"Sapulpa city, Oklahoma",40,65400,23116,11107,12009,37.5,34.2,42.8,31569,4075,4802,3133,3586,3651
"Shawnee city, Oklahoma",40,66800,31569,15318,16251,32.6,32.7,32.4,48136,17037,7155,5080,3588,2300
"Stillwater city, Oklahoma",40,70300,48136,24860,23276,23.1,23.2,23.0,411905,39029,61804,53587,47503,46743
"Tulsa city, Oklahoma",40,75000,411905,202497,209408,35.9,35.1,36.9,24626,2189,1729,3814,2868,2661
"Yukon city, Oklahoma",40,82950,24626,12206,12420,38.9,39.2,37.7,56007,6328,6915,8117,7304,6001
"Albany city, Oregon",41,01000,56007,28734,27273,36.9,36.1,38.7,50941,4169,9217,6412,7680,6134
"Aloha CDP, Oregon",41,01650,50941,27237,23704,37.7,35.6,40.7,24434,1925,2216,4145,3042,2176
"Ashland city, Oregon",41,03050,24434,11048,13386,45.0,44.5,46.3,98204,8349,17153,15300,11928,12570
"Beaverton city, Oregon",41,05350,98204,48624,49580,39.0,36.6,41.4,102079,6401,14966,16359,13702,10216
"Bend city, Oregon",41,05800,102079,52159,49920,41.2,39.5,42.2,32768,550,3555,6510,6757,3153
"Bethany CDP, Oregon",41,05950,32768,16349,16419,38.6,40.1,37.3,59863,19573,10027,4334,5260,4664
"Corvallis city, Oregon",41,15800,59863,29755,30108,28.3,28.3,28.2,175102,31333,28589,22986,19548,16393
"Eugene city, Oregon",41,23850,175102,86505,88597,34.8,34.5,35.2,26091,3344,2425,3248,3569,2151
"Forest Grove city, Oregon",41,26200,26091,11550,14541,31.8,27.4,34.7,39364,2848,4668,4693,3905,5067
"Grants Pass city, Oregon",41,30550,39364,18359,21005,44.0,41.6,45.3,113106,8870,15185,16640,14245,13776
"Gresham city, Oregon",41,31250,113106,56141,56965,38.7,37.0,39.9,25670,1120,2729,4421,3732,2408
"Happy Valley city, Oregon",41,32050,25670,12972,12698,38.6,36.3,40.1,20812,1449,4303,2707,1314,1640
"Hayesville CDP, Oregon",41,32850,20812,10968,9844,31.8,31.9,31.3,106651,10986,21660,16396,13295,11344
"Hillsboro city, Oregon",41,34100,106651,53365,53286,34.8,34.8,34.7,39155,3317,6524,4361,3727,4872
"Keizer city, Oregon",41,38500,39155,18901,20254,32.8,31.9,35.1,21454,2686,3011,2884,2115,2840
"Klamath Falls city, Oregon",41,39700,21454,10620,10834,35.7,32.9,36.3,40708,1905,3722,4829,7168,4652
"Lake Oswego city, Oregon",41,40550,40708,20297,20411,46.6,42.9,50.3,20895,2433,2968,1854,2122,2471
"Lebanon city, Oregon",41,41650,20895,9931,10964,34.3,32.0,35.0,34669,4793,4017,3804,3399,4719
"McMinnville city, Oregon",41,45000,34669,16011,18658,39.1,33.0,40.9,86374,7509,12516,10337,9443,12000
"Medford city, Oregon",41,47000,86374,43507,42867,41.6,39.2,45.1,21993,1221,2923,4683,2358,2898
"Milwaukie city, Oregon",41,48650,21993,10773,11220,41.6,43.5,40.7,25483,3264,3450,3571,2653,3051
"Newberg city, Oregon",41,52100,25483,12483,13000,37.9,39.3,36.9,37424,3038,5737,5748,5073,4195
"Oregon City city, Oregon",41,55200,37424,17464,19960,37.8,37.8,37.9,642218,50555,123457,114420,89205,68431
"Portland city, Oregon",41,59000,642218,318808,323410,38.3,38.3,38.3,35579,2708,7539,4020,3619,4012
"Redmond city, Oregon",41,61200,35579,18356,17223,34.0,32.9,34.5,25877,1175,3809,3047,2685,4120
"Roseburg city, Oregon",41,63650,25877,12278,13599,42.5,42.5,42.6,177727,18753,28893,23985,18522,17906
"Salem city, Oregon",41,64900,177727,88492,89235,34.4,33.7,35.1,24409,1670,1991,4273,4608,1582
"Sherwood city, Oregon",41,67100,24409,11689,12720,35.4,35.0,35.7,62250,5270,9251,8073,8070,7938
"Springfield city, Oregon",41,69600,62250,32843,29407,38.6,36.3,41.6,55762,2966,10482,8631,5883,7611
"Tigard city, Oregon",41,73650,55762,28917,26845,39.0,38.4,40.2,26969,1895,4449,3119,4448,2484
"Tualatin city, Oregon",41,74950,26969,14092,12877,37.7,36.3,41.9,27104,1369,2276,3401,3671,4101
"West Linn city, Oregon",41,80150,27104,13114,13990,46.5,46.0,46.7,26531,3438,4416,4507,2951,2412
"Wilsonville city, Oregon",41,82800,26531,13568,12963,37.1,31.9,39.1,26061,2504,1737,3178,4440,4087
"Woodburn city, Oregon",41,83750,26061,12679,13382,48.5,48.4,49.1,125934,14697,20700,16039,13365,15245
"Allentown city, Pennsylvania",42,02000,125934,60648,65286,34.6,34.0,35.3,21053,1397,1461,2256,3722,2670
"Allison Park CDP, Pennsylvania",42,02056,21053,10356,10697,49.4,48.5,49.5,43528,3030,6067,5275,6272,6154
"Altoona city, Pennsylvania",42,02184,43528,19930,23598,44.1,45.2,43.0,23367,1804,2820,3523,2616,2166
"Baldwin borough, Pennsylvania",42,03928,23367,11614,11753,41.1,40.6,43.0,33123,1695,3475,3960,4600,3967
"Bethel Park municipality, Pennsylvania",42,06064,33123,15458,17665,46.8,46.5,47.2,75134,12801,9555,9797,6696,9179
"Bethlehem city, Pennsylvania",42,06088,75134,36683,38451,37.6,34.5,40.9,20860,2331,2497,3189,2896,2129
"Chambersburg borough, Pennsylvania",42,12536,20860,9784,11076,40.5,33.3,46.9,32534,4529,3608,3836,3389,3325
"Chester city, Pennsylvania",42,13208,32534,16089,16445,37.6,38.0,37.2,29024,2953,5771,4231,2630,4328
"Drexel Hill CDP, Pennsylvania",42,19920,29024,14250,14774,35.5,36.6,35.0,28047,4334,4796,4132,2798,2695
"Easton city, Pennsylvania",42,21648,28047,14861,13186,32.1,30.5,33.4,94013,11066,11688,10911,11397,12878
"Erie city, Pennsylvania",42,24000,94013,45095,48918,38.0,38.4,37.7,50128,3371,8026,7765,6466,5257
"Harrisburg city, Pennsylvania",42,32800,50128,24969,25159,35.0,29.7,37.4,29973,2645,3927,3467,3543,3389
"Hazleton city, Pennsylvania",42,33408,29973,15095,14878,35.2,29.7,41.3,25092,1482,5775,3130,2401,2798
"King of Prussia CDP, Pennsylvania",42,39736,25092,11692,13400,39.3,36.0,42.1,57494,7375,11052,9359,5692,6062
"Lancaster city, Pennsylvania",42,41216,57494,28347,29147,32.9,33.5,32.5,26586,2609,3032,4344,2528,2828
"Lebanon city, Pennsylvania",42,42168,26586,12170,14416,35.6,32.1,39.0,54726,5345,8353,6139,7524,7168
"Levittown CDP, Pennsylvania",42,42928,54726,26627,28099,41.7,38.4,42.9,28334,1618,2884,4340,3443,3979
"Monroeville municipality, Pennsylvania",42,50528,28334,12888,15446,44.6,43.2,48.2,20993,1078,1457,2594,2508,3689
"Murrysville municipality, Pennsylvania",42,52432,20993,10330,10663,50.8,50.4,52.5,19201,1877,3086,1743,2317,2693
"New Castle city, Pennsylvania",42,53368,19201,7970,11231,43.0,37.6,47.7,35830,3089,6264,5405,3504,4092
"Norristown borough, Pennsylvania",42,54656,35830,17398,18432,34.6,34.4,34.9,1576251,145662,296257,212574,171765,183148
"Philadelphia city, Pennsylvania",42,60000,1576251,749496,826755,35.2,34.0,36.4,300454,50635,61008,35173,28296,35089
"Pittsburgh city, Pennsylvania",42,61000,300454,146812,153642,34.2,32.9,35.4,26866,1739,3569,2942,4008,3512
"Plum borough, Pennsylvania",42,61536,26866,12988,13878,43.6,42.6,45.9,24157,2775,3465,3150,2542,2168
"Pottstown borough, Pennsylvania",42,62416,24157,11825,12332,31.5,30.4,32.7,94834,10538,12184,12396,9629,11207
"Reading city, Pennsylvania",42,63624,94834,45533,49301,32.1,31.7,32.3,75867,9511,10059,9080,8568,8844
"Scranton city, Pennsylvania",42,69000,75867,37477,38390,37.5,36.8,38.5,39526,25351,4177,2138,1427,1994
"State College borough, Pennsylvania",42,73808,39526,22018,17508,21.6,21.8,21.3,44472,5355,5038,7133,5015,5385
"Wilkes-Barre city, Pennsylvania",42,85152,44472,21558,22914,39.4,39.3,39.4,27613,4867,3493,3488,2510,2757
"Williamsport city, Pennsylvania",42,85312,27613,13490,14123,34.3,30.2,37.1,44842,6861,5131,6044,5082,3959
"York city, Pennsylvania",42,87048,44842,22158,22684,33.8,30.6,37.2,82568,6007,12455,11430,9575,14689
"Cranston city, Rhode Island",44,19180,82568,41391,41177,41.3,39.6,43.0,46925,3940,4763,5067,6134,7266
"East Providence city, Rhode Island",44,22960,46925,23629,23296,46.8,40.8,51.3,25150,4054,4415,2016,2948,3307
"Newport city, Rhode Island",44,49960,25150,12050,13100,44.3,43.0,44.4,75379,7153,13143,10990,8356,9330
"Pawtucket city, Rhode Island",44,54640,75379,36799,38580,35.6,34.4,37.2,189697,29420,33808,26487,22271,17371
"Providence city, Rhode Island",44,59000,189697,93956,95741,32.7,32.4,33.1,83014,7724,9970,11273,8057,14120
"Warwick city, Rhode Island",44,74300,83014,39351,43663,42.0,39.6,46.1,43116,4587,6707,5038,5295,5422
"Woonsocket city, Rhode Island",44,80780,43116,21035,22081,33.8,31.5,36.0,31907,3509,3210,3528,3316,4131
"Aiken city, South Carolina",45,00550,31907,14611,17296,43.0,36.7,48.6,29290,4032,4057,2641,2763,3887
"Anderson city, South Carolina",45,01360,29290,13901,15389,37.0,37.2,36.9,32201,2798,4290,4802,3664,3587
"Bluffton town, South Carolina",45,07210,32201,16011,16190,37.3,35.3,38.0,22572,1182,3354,3395,2007,3191
"Carolina Forest CDP, South Carolina",45,11833,22572,9323,13249,40.6,39.8,41.0,152046,21153,27519,21641,16299,14937
"Charleston city, South Carolina",45,13330,152046,73208,78838,35.7,34.4,37.3,137960,34868,22681,16041,10339,12718
"Columbia city, South Carolina",45,16000,137960,67072,70888,27.5,27.0,27.9,25882,4959,2531,2093,2265,3038
"Conway city, South Carolina",45,16405,25882,12155,13727,33.9,31.0,41.0,22481,1213,4028,1835,2912,3406
"Easley city, South Carolina",45,21985,22481,12058,10423,40.0,35.2,46.0,39958,3020,5992,5530,4014,5151
"Florence city, South Carolina",45,25810,39958,17733,22225,41.2,37.9,43.5,27994,796,2716,6635,3244,1994
"Fort Mill town, South Carolina",45,26890,27994,13171,14823,36.8,38.5,35.8,46215,7760,6791,3861,6976,6638
"Goose Creek city, South Carolina",45,29815,46215,24162,22053,34.3,30.1,38.6,72103,11027,13928,8196,8850,7815
"Greenville city, South Carolina",45,30850,72103,33965,38138,33.9,32.1,35.3,19337,3037,2258,1757,2268,2690
"Greenwood city, South Carolina",45,30895,19337,7920,11417,36.8,29.5,40.3,38429,1930,7958,5766,4921,3611
"Greer city, South Carolina",45,30985,38429,18538,19891,36.5,33.1,41.9,19220,1805,2976,2491,2740,1578
"Hanahan city, South Carolina",45,32065,19220,9011,10209,32.6,33.4,31.7,38073,1284,1917,3428,4330,7736
"Hilton Head Island town, South Carolina",45,34045,38073,17893,20180,59.6,61.1,58.2,24214,1751,3110,4602,2144,3693
"Lexington town, South Carolina",45,41335,24214,13050,11164,39.8,37.7,42.6,25642,2470,2341,4769,2999,3323
"Mauldin city, South Carolina",45,45115,25642,13072,12570,42.1,37.6,43.6,92398,3042,9648,16247,11655,14192
"Mount Pleasant town, South Carolina",45,48535,92398,46148,46250,43.0,42.5,43.4,37109,3101,5344,4621,2769,8471
"Myrtle Beach city, South Carolina",45,49075,37109,18258,18851,50.2,40.6,57.0,24406,632,2946,3149,3268,3406
"North Augusta city, South Carolina",45,50695,24406,11765,12641,45.3,45.8,44.7,117463,11970,22902,17099,13475,12077
"North Charleston city, South Carolina",45,50875,117463,56047,61416,34.6,33.0,35.9,19727,451,841,1468,2794,4021
"North Myrtle Beach city, South Carolina",45,51280,19727,9874,9853,62.3,61.0,62.6,74107,9214,10212,9665,10349,7744
"Rock Hill city, South Carolina",45,61405,74107,33811,40296,34.8,33.5,36.0,22737,2323,4202,3336,1957,2516
"St. Andrews CDP, South Carolina",45,62395,22737,10844,11893,34.5,31.7,36.3,24694,1933,3250,3834,3665,2846
"Simpsonville city, South Carolina",45,66580,24694,12864,11830,44.1,43.4,44.4,24999,1502,3228,2682,2846,4313
"Socastee CDP, South Carolina",45,67390,24999,12624,12375,39.5,39.9,39.5,38400,4829,4941,5205,3065,5649
"Spartanburg city, South Carolina",45,68290,38400,17866,20534,35.2,33.2,36.0,52769,2234,6659,9292,5704,5693
"Summerville town, South Carolina",45,70270,52769,23513,29256,37.4,37.7,37.1,42980,5373,5487,4889,4185,5919
"Sumter city, South Carolina",45,70405,42980,21570,21410,35.9,32.8,41.1,24197,3733,3938,2697,2144,2697
"Taylors CDP, South Carolina",45,71395,24197,11893,12304,32.7,31.0,33.0,21373,1248,2583,3713,2387,2631
"Wade Hampton CDP, South Carolina",45,73870,21373,10428,10945,39.8,39.4,40.5,20059,2630,3178,2814,1936,1925
"West Columbia city, South Carolina",45,75850,20059,8452,11607,37.3,37.9,35.6,28594,3196,2839,3717,2982,3461
"Aberdeen city, South Dakota",46,00100,28594,13841,14753,36.2,34.7,38.0,23806,9326,2456,2385,1808,1755
"Brookings city, South Dakota",46,07580,23806,12262,11544,24.2,24.4,23.4,76173,7460,9826,9135,8138,9547
"Rapid City city, South Dakota",46,52980,76173,40130,36043,38.3,34.8,40.4,196528,17859,27789,30523,21447,22597
"Sioux Falls city, South Dakota",46,59020,196528,98502,98026,35.9,35.6,36.1,22925,2709,2329,3198,2566,2644
"Watertown city, South Dakota",46,69300,22925,12004,10921,38.7,36.5,40.2,57328,3913,6930,7677,5092,8900
"Bartlett city, Tennessee",47,03440,57328,29083,28245,38.9,35.0,42.1,45496,3037,2726,4255,8540,7522
"Brentwood city, Tennessee",47,08280,45496,22751,22745,47.4,47.2,47.7,27528,2534,4337,2766,3294,4026
"Bristol city, Tennessee",47,08540,27528,11573,15955,42.4,43.0,41.3,182111,19476,29441,21431,18144,23502
"Chattanooga city, Tennessee",47,14000,182111,86849,95262,37.0,35.6,37.9,170966,20354,31031,22682,17400,16060
"Clarksville city, Tennessee",47,15160,170966,85106,85860,29.9,28.4,31.0,47958,6260,7671,5325,5450,4048
"Cleveland city, Tennessee",47,15400,47958,23690,24268,31.7,30.5,35.1,51345,4267,5267,7238,6829,8989
"Collierville town, Tennessee",47,16420,51345,25720,25625,41.7,42.5,39.2,43342,2739,6063,6163,5114,5814
"Columbia city, Tennessee",47,16540,43342,18353,24989,36.4,36.9,34.8,35141,6985,4393,3887,3472,3854
"Cookeville city, Tennessee",47,16920,35141,17068,18073,34.3,32.0,36.3,22913,1560,3793,2613,2281,2528
"East Ridge city, Tennessee",47,22720,22913,10322,12591,40.8,41.2,40.6,24419,1843,1184,3225,3748,3483
"Farragut town, Tennessee",47,25760,24419,12000,12419,45.7,46.0,45.5,85473,9141,9319,13400,13728,7798
"Franklin city, Tennessee",47,27740,85473,40544,44929,39.5,39.5,39.5,46918,3659,6821,6497,6369,4878
"Gallatin city, Tennessee",47,28540,46918,22482,24436,40.7,38.0,43.2,41030,2009,2984,5051,5900,4020
"Germantown city, Tennessee",47,28960,41030,19621,21409,44.5,44.6,44.5,62256,3134,8808,8552,8456,7754
"Hendersonville city, Tennessee",47,33280,62256,30393,31863,40.0,39.1,40.4,68114,8628,8795,8822,6505,7164
"Jackson city, Tennessee",47,37640,68114,30570,37544,34.7,33.9,34.9,70889,11021,10195,8806,6408,8903
"Johnson City city, Tennessee",47,38320,70889,32908,37981,35.6,35.7,35.5,54245,3676,6577,6663,6643,6679
"Kingsport city, Tennessee",47,39560,54245,27020,27225,40.3,39.9,40.9,192657,33225,31393,24002,19035,23626
"Knoxville city, Tennessee",47,40000,192657,94692,97965,33.6,32.4,35.5,39089,3951,4244,6238,4847,3748
"La Vergne city, Tennessee",47,41200,39089,18549,20540,31.8,28.1,35.6,40901,4170,5797,5954,5542,5224
"Lebanon city, Tennessee",47,41520,40901,20161,20740,41.4,36.5,42.6,32265,2998,3457,5250,3283,3248
"Maryville city, Tennessee",47,46380,32265,15557,16708,37.2,37.4,37.1,628118,59826,103144,79640,67093,72133
"Memphis city, Tennessee",47,48000,628118,296266,331852,34.3,32.9,35.7,30766,2396,4297,3442,4487,2613
"Morristown city, Tennessee",47,50280,30766,15119,15647,38.3,36.6,39.6,40769,1882,4649,6063,5236,5203
"Mount Juliet city, Tennessee",47,50780,40769,21569,19200,41.0,39.7,42.8,157509,23450,27195,18499,20726,16796
"Murfreesboro city, Tennessee",47,51560,157509,78472,79037,32.6,31.6,33.5,678845,66488,138135,98711,76023,74039
"Nashville-Davidson metropolitan government (balance), Tennessee",47,52006,678845,327201,351644,34.9,34.5,35.2,33896,2259,3570,4378,3687,4095
"Oak Ridge city, Tennessee",47,55120,33896,16013,17883,41.9,39.5,45.4,19577,2049,2730,2389,1904,2695
"Sevierville city, Tennessee",47,67120,19577,9511,10066,39.9,40.5,39.7,23068,2541,2939,3498,2422,1934
"Shelbyville city, Tennessee",47,67760,23068,11904,11164,30.9,30.2,37.6,55517,5135,8500,10192,6736,6961
"Smyrna town, Tennessee",47,69420,55517,26627,28890,36.6,37.6,34.8,56647,4332,7954,11870,5382,4261
"Spring Hill city, Tennessee",47,70580,56647,29244,27403,30.1,29.0,32.7,23770,976,3810,3555,2229,3309
"Tullahoma city, Tennessee",47,75320,23770,11109,12661,35.8,38.3,33.3,129601,18943,19220,17622,12102,13110
"Abilene city, Texas",48,01000,129601,65590,64011,32.6,32.3,33.3,21939,2300,3121,2157,1654,1349
"Alamo city, Texas",48,01576,21939,10960,10979,23.6,23.4,24.0,106868,7652,9997,15517,18138,13455
"Allen city, Texas",48,01924,106868,51495,55373,40.8,41.0,40.5,24202,4016,3534,2296,1999,1316
"Alton city, Texas",48,02212,24202,12006,12196,22.4,20.5,25.1,27578,2252,2278,5426,3020,4436
"Alvin city, Texas",48,02272,27578,12640,14938,42.4,43.1,41.8,198781,19781,28138,26502,21644,22069
"Amarillo city, Texas",48,03000,198781,95994,102787,34.7,32.8,36.1,392802,39448,64260,53795,46713,45145
"Arlington city, Texas",48,04000,392802,197699,195103,34.7,33.0,36.4,85808,5820,15249,14163,11517,7379
"Atascocita CDP, Texas",48,04462,85808,45251,40557,34.8,34.4,35.7,964000,94219,218082,167737,113916,93477
"Austin city, Texas",48,05000,964000,490445,473555,34.4,34.2,34.6,27154,2035,2674,4397,2769,3115
"Balch Springs city, Texas",48,05372,27154,13192,13962,31.1,25.0,35.3,21327,1447,5723,1107,3172,1364
"Bay City city, Texas",48,05984,21327,10822,10505,33.4,33.4,33.4,79676,6705,12232,9548,7468,9073
"Baytown city, Texas",48,06128,79676,39025,40651,31.8,32.3,31.2,112559,12102,15713,13519,10163,14902
"Beaumont city, Texas",48,07000,112559,55018,57541,35.3,34.4,36.5,49184,5015,7422,7434,6248,5987
"Bedford city, Texas",48,07132,49184,22007,27177,38.3,38.5,37.9,24727,3937,4291,2492,2121,3284
"Belton city, Texas",48,07492,24727,11472,13255,32.2,32.1,34.1,24606,997,3220,3274,2655,2137
"Benbrook city, Texas",48,07552,24606,11943,12663,37.5,36.4,38.7,26657,2755,5280,4384,3251,2041
"Big Spring city, Texas",48,08236,26657,15173,11484,35.2,35.8,35.1,187840,23941,24763,22487,24210,14711
"Brownsville city, Texas",48,10768,187840,89113,98727,29.9,28.9,31.5,24505,1244,2918,3454,4196,2626
"Brushy Creek CDP, Texas",48,10897,24505,12441,12064,38.6,33.9,39.8,86851,13757,15393,11050,8122,8048
"Bryan city, Texas",48,10912,86851,43764,43087,31.2,30.0,32.7,52013,3395,6118,9157,7020,4279
"Burleson city, Texas",48,11428,52013,25635,26378,35.2,33.9,36.2,36864,1129,2408,4813,5734,6501
"Canyon Lake CDP, Texas",48,12580,36864,18670,18194,47.5,48.6,46.0,132569,10107,20961,21698,16855,17698
"Carrollton city, Texas",48,13024,132569,64534,68035,37.4,36.3,38.4,48421,4698,4665,6568,6279,4776
"Cedar Hill city, Texas",48,13492,48421,22556,25865,32.7,23.9,35.4,78326,5849,11093,13742,10420,8740
"Cedar Park city, Texas",48,13552,78326,40614,37712,37.0,36.8,37.4,39472,4272,4605,5259,4499,2271
"Channelview CDP, Texas",48,14236,39472,20870,18602,27.7,25.1,30.9,33475,3587,2534,6680,4750,3205
"Cibolo city, Texas",48,14920,33475,16568,16907,36.4,36.3,36.5,31996,2725,3832,4771,3575,4621
"Cleburne city, Texas",48,15364,31996,17234,14762,37.5,34.7,41.1,23713,2062,3174,3038,2883,2761
"Cloverleaf CDP, Texas",48,15628,23713,11642,12071,31.8,32.4,31.2,120032,43556,17439,11726,8345,7771
"College Station city, Texas",48,15976,120032,61402,58630,22.9,22.7,23.1,25978,1143,1701,4038,4441,4048
"Colleyville city, Texas",48,15988,25978,13636,12342,47.5,44.7,49.9,94401,11693,15086,13535,10088,7850
"Conroe city, Texas",48,16432,94401,47750,46651,33.8,29.6,35.8,28645,2973,3907,4177,4123,3395
"Converse city, Texas",48,16468,28645,14312,14333,35.6,33.7,39.2,42126,1759,3688,7460,7513,6028
"Coppell city, Texas",48,16612,42126,22831,19295,42.9,42.0,43.7,37157,2105,6273,5807,5263,3302
"Copperas Cove city, Texas",48,16624,37157,16914,20243,34.6,35.0,34.2,22607,1351,2409,3702,4025,4183
"Corinth city, Texas",48,16696,22607,12707,9900,44.0,40.3,46.5,317768,32976,43998,43365,36905,36681
"Corpus Christi city, Texas",48,17000,317768,156786,160982,36.4,35.4,37.8,25205,3215,2820,2611,2304,3233
"Corsicana city, Texas",48,17060,25205,12978,12227,34.9,28.1,46.0,20368,1576,3144,3493,2986,1468
"Crowley city, Texas",48,17960,20368,10568,9800,33.9,27.9,37.3,1288441,121452,240097,180741,147385,144370
"Dallas city, Texas",48,19000,1288441,650475,637966,33.7,33.5,33.9,33678,3183,3560,6715,2516,3395
"Deer Park city, Texas",48,19624,33678,16414,17264,34.9,34.9,34.9,35039,3470,3952,3479,4296,3518
"Del Rio city, Texas",48,19792,35039,18387,16652,33.8,30.4,40.1,25177,2554,2603,1788,4046,3555
"Denison city, Texas",48,19900,25177,11810,13367,45.5,36.3,48.4,148139,32104,27489,13325,19734,13801
"Denton city, Texas",48,19972,148139,71427,76712,31.1,31.0,31.2,55725,4378,4219,9008,7053,7600
"DeSoto city, Texas",48,20092,55725,25262,30463,41.9,42.2,41.0,39800,2717,3144,4721,6178,5443
"Duncanville city, Texas",48,21628,39800,18367,21433,43.5,44.3,42.8,28598,1187,6127,2530,3291,2330
"Eagle Pass city, Texas",48,21892,28598,14648,13950,29.2,28.8,29.7,102477,10466,16662,13236,10817,10717
"Edinburg city, Texas",48,22660,102477,46748,55729,31.8,31.1,33.1,678422,72234,102293,86715,76414,74156
"El Paso city, Texas",48,24000,678422,334345,344077,34.3,32.4,36.3,21239,1122,3494,2742,2103,2483
"Ennis city, Texas",48,24348,21239,11506,9733,37.8,26.3,44.8,60503,4999,11014,8695,7386,7690
"Euless city, Texas",48,24768,60503,29344,31159,34.5,34.1,35.2,36450,2391,8261,5806,3371,4940
"Farmers Branch city, Texas",48,25452,36450,18416,18034,35.7,35.0,37.4,25249,755,3417,4750,2374,1463
"Fate city, Texas",48,25572,25249,10669,14580,32.9,32.8,33.0,78375,7882,5537,10250,14752,12520
"Flower Mound town, Texas",48,26232,78375,40655,37720,42.6,41.6,43.3,27259,3746,3066,3102,4902,2970
"Forney city, Texas",48,26604,27259,14678,12581,42.0,33.8,42.3,36529,15012,6856,3055,1051,307
"Fort Hood CDP, Texas",48,26736,36529,24236,12293,21.9,21.8,22.7,940437,92688,146975,135901,113630,97407
"Fort Worth city, Texas",48,27000,940437,449770,490667,32.9,33.1,32.7,22283,3431,2396,4137,2653,2828
"Fresno CDP, Texas",48,27540,22283,12276,10007,35.8,34.1,38.6,43281,3119,2434,4770,8766,4986
"Friendswood city, Texas",48,27648,43281,21077,22204,40.5,38.8,43.0,210735,15402,23317,37923,35915,18031
"Frisco city, Texas",48,27684,210735,103878,106857,37.1,37.4,36.5,25172,376,1912,5395,4039,1559
"Fulshear city, Texas",48,27876,25172,12661,12511,37.6,37.4,37.6,53222,5835,9338,6081,5697,7309
"Galveston city, Texas",48,28068,53222,26511,26711,39.4,38.2,40.9,241870,23212,35602,28350,31132,26904
"Garland city, Texas",48,29000,241870,116873,124997,33.1,31.4,35.4,75407,5598,10406,7972,8194,7229
"Georgetown city, Texas",48,29336,75407,37538,37869,41.1,38.3,45.3,197338,19625,26090,26774,24903,25294
"Grand Prairie city, Texas",48,30464,197338,96783,100555,34.1,33.0,35.0,50877,4688,7839,6197,7205,7802
"Grapevine city, Texas",48,30644,50877,27335,23542,36.8,36.2,39.5,29573,2492,6836,2867,2718,3761
"Greenville city, Texas",48,30920,29573,14328,15245,32.8,30.4,39.6,45743,4357,7692,6414,6147,4127
"Haltom City city, Texas",48,31928,45743,24149,21594,32.7,32.2,32.9,33544,3340,4781,5531,3373,3211
"Harker Heights city, Texas",48,32312,33544,16735,16809,32.8,33.0,32.5,71928,3833,10148,8645,6576,8682
"Harlingen city, Texas",48,32372,71928,36352,35576,36.7,32.7,41.7,22530,1888,4722,4143,2078,1734
"Horizon City city, Texas",48,34832,22530,11861,10669,29.9,27.2,31.6,2287047,228237,390310,349067,269765,239238
"Houston city, Texas",48,35000,2287047,1124951,1162096,34.8,34.7,35.0,22835,1704,5221,3563,2384,2402
"Humble city, Texas",48,35348,22835,11670,11165,32.8,32.5,33.5,46291,14492,7694,5728,2734,3454
"Huntsville city, Texas",48,35528,46291,25917,20374,27.6,31.6,22.4,40045,2764,4302,6445,4670,5643
"Hurst city, Texas",48,35576,40045,20209,19836,36.8,36.7,36.9,30853,1918,4293,6501,3771,3189
