NAME,state,place,total_population
"Cloverleaf CDP, Texas",48,15628,23713
"College Station city, Texas",48,15976,120032
"Colleyville city, Texas",48,15988,25978
"Conroe city, Texas",48,16432,94401
"Converse city, Texas",48,16468,28645
"Coppell city, Texas",48,16612,42126
"Copperas Cove city, Texas",48,16624,37157
"Corinth city, Texas",48,16696,22607
"Corpus Christi city, Texas",48,17000,317768
"Corsicana city, Texas",48,17060,25205
"Crowley city, Texas",48,17960,20368
"Dallas city, Texas",48,19000,1288441
"Deer Park city, Texas",48,19624,33678
"Del Rio city, Texas",48,19792,35039
"Denison city, Texas",48,19900,25177
"Denton city, Texas",48,19972,148139
"DeSoto city, Texas",48,20092,55725
"Duncanville city, Texas",48,21628,39800
"Eagle Pass city, Texas",48,21892,28598
"Edinburg city, Texas",48,22660,102477
"El Paso city, Texas",48,24000,678422
"Ennis city, Texas",48,24348,21239
"Euless city, Texas",48,24768,60503
"Farmers Branch city, Texas",48,25452,36450
"Fate city, Texas",48,25572,25249
"Flower Mound town, Texas",48,26232,78375
"Forney city, Texas",48,26604,27259
"Fort Hood CDP, Texas",48,26736,36529
"Fort Worth city, Texas",48,27000,940437
"Fresno CDP, Texas",48,27540,22283
"Friendswood city, Texas",48,27648,43281
"Frisco city, Texas",48,27684,210735
"Fulshear city, Texas",48,27876,25172
"Galveston city, Texas",48,28068,53222
"Garland city, Texas",48,29000,241870
"Georgetown city, Texas",48,29336,75407
"Grand Prairie city, Texas",48,30464,197338
"Grapevine city, Texas",48,30644,50877
"Greenville city, Texas",48,30920,29573
"Haltom City city, Texas",48,31928,45743
"Harker Heights city, Texas",48,32312,33544
"Harlingen city, Texas",48,32372,71928
"Horizon City city, Texas",48,34832,22530
"Houston city, Texas",48,35000,2287047
"Humble city, Texas",48,35348,22835
"Huntsville city, Texas",48,35528,46291
"Hurst city, Texas",48,35576,40045
"Hutto city, Texas",48,35624,30853
"Irving city, Texas",48,37000,254190
"Keller city, Texas",48,38632,45404
"Kerrville city, Texas",48,39040,24476
"Killeen city, Texas",48,39148,156260
"Kingsville city, Texas",48,39352,25560
"Kyle city, Texas",48,39952,51786
"Lake Jackson city, Texas",48,40588,27880
"Lakeway city, Texas",48,40984,22086
"La Marque city, Texas",48,41116,19516
"Lancaster city, Texas",48,41212,40729
"La Porte city, Texas",48,41440,35967
"Laredo city, Texas",48,41464,258014
"League City city, Texas",48,41980,114664
"Leander city, Texas",48,42016,68993
"Lewisville city, Texas",48,42508,112853
"Little Elm city, Texas",48,43012,51053
"Longview city, Texas",48,43888,81877
"Lubbock city, Texas",48,45000,260990
"Lufkin city, Texas",48,45072,34075
"McAllen city, Texas",48,45384,143922
"McKinney city, Texas",48,45744,202680
"Mansfield city, Texas",48,46452,74106
"Marshall city, Texas",48,46776,27789
"Mesquite city, Texas",48,47892,148087
"Midland city, Texas",48,48072,131292
"Midlothian city, Texas",48,48096,37050
"Mission city, Texas",48,48768,86215
"Mission Bend CDP, Texas",48,48772,34842
"Missouri City city, Texas",48,48804,76462
"Murphy city, Texas",48,50100,23201
"Nacogdoches city, Texas",48,50256,32113
"Nederland city, Texas",48,50580,20165
"New Braunfels city, Texas",48,50820,96630
"North Richland Hills city, Texas",48,52356,70212
"Odessa city, Texas",48,53388,116436
"Paris city, Texas",48,55080,24402
"Pasadena city, Texas",48,56000,148629
"Pearland city, Texas",48,56348,120694
"Pecan Grove CDP, Texas",48,56482,23707
"Pflugerville city, Texas",48,57176,66700
"Pharr city, Texas",48,57200,79697
"Plainview city, Texas",48,57980,20401
"Plano city, Texas",48,58016,287037
"Port Arthur city, Texas",48,58820,55634
"Princeton city, Texas",48,59576,23151
"Prosper town, Texas",48,59696,36106
"Richardson city, Texas",48,61796,116369
"Rockwall city, Texas",48,62828,49665
"Rosenberg city, Texas",48,63284,39464
"Round Rock city, Texas",48,63500,127130
"Rowlett city, Texas",48,63572,61652
"Sachse city, Texas",48,64064,27909
"Saginaw city, Texas",48,64112,24014
"San Angelo city, Texas",48,64472,101063
"San Antonio city, Texas",48,65000,1451863
"San Benito city, Texas",48,65036,24774
"San Juan city, Texas",48,65516,35582
"San Marcos city, Texas",48,65600,68578
"Schertz city, Texas",48,66128,43212
"Seagoville city, Texas",48,66428,25389
"Seguin city, Texas",48,66644,30907
"Sherman city, Texas",48,67496,44881
"Sienna CDP, Texas",48,67763,20367
"Socorro city, Texas",48,68636,36223
"Southlake city, Texas",48,69032,30857
"Spring CDP, Texas",48,69596,71893
"Sugar Land city, Texas",48,70808,109337
"Temple city, Texas",48,72176,85428
"Texarkana city, Texas",48,72368,36022
"Texas City city, Texas",48,72392,54246
"The Colony city, Texas",48,72530,44997
"The Woodlands CDP, Texas",48,72656,116251
"Timberwood Park CDP, Texas",48,73057,32611
"Tyler city, Texas",48,74144,107199
"Universal City city, Texas",48,74408,20085
"University Park city, Texas",48,74492,24848
"Victoria city, Texas",48,75428,65384
"Waco city, Texas",48,76000,139601
"Watauga city, Texas",48,76672,21642
"Waxahachie city, Texas",48,76816,43374
"Weatherford city, Texas",48,76864,33715
"Weslaco city, Texas",48,77272,41029
"West Odessa CDP, Texas",48,77728,34264
"Wichita Falls city, Texas",48,79000,102986
"Wylie city, Texas",48,80356,58291
"American Fork city, Utah",49,01310,34421
"Bluffdale city, Utah",49,06810,21206
"Bountiful city, Utah",49,07690,45438
"Brigham City city, Utah",49,08460,19932
"Cedar City city, Utah",49,11320,39892
"Clearfield city, Utah",49,13850,32245
"Clinton city, Utah",49,14290,23680
"Cottonwood Heights city, Utah",49,16270,32870
"Draper city, Utah",49,20120,51917
"Eagle Mountain city, Utah",49,20810,49735
"Farmington city, Utah",49,24740,24762
"Herriman city, Utah",49,34970,58207
"Highland city, Utah",49,35190,21938
"Holladay city, Utah",49,36070,31389
"Hurricane city, Utah",49,37170,22184
"Kaysville city, Utah",49,40360,32981
"Kearns metro township, Utah",49,40470,36757
"Layton city, Utah",49,43660,83299
"Lehi city, Utah",49,44320,79979
"Logan city, Utah",49,45860,54429
"Magna metro township, Utah",49,47290,29260
"Midvale city, Utah",49,49710,35939
"Millcreek city, Utah",49,50150,64109
"Murray city, Utah",49,53230,49724
"North Ogden city, Utah",49,55100,21552
"North Salt Lake city, Utah",49,55210,21966
"Ogden city, Utah",49,55980,86800
"Orem city, Utah",49,57300,97872
"Payson city, Utah",49,58730,20160
"Pleasant Grove city, Utah",49,60930,37941
"Provo city, Utah",49,62470,114085
"Riverton city, Utah",49,64340,45156
"Roy city, Utah",49,65110,39358
"St. George city, Utah",49,65330,99965
"Salt Lake City city, Utah",49,67000,200475
"Sandy city, Utah",49,67440,95038
"Saratoga Springs city, Utah",49,67825,44155
"South Jordan city, Utah",49,70850,80142
"South Salt Lake city, Utah",49,71070,26158
"Spanish Fork city, Utah",49,71290,43869
"Springville city, Utah",49,72280,36126
"Syracuse city, Utah",49,74810,33333
"Taylorsville city, Utah",49,75360,59245
"Tooele city, Utah",49,76680,37114
"Washington city, Utah",49,81960,31030
"West Jordan city, Utah",49,82950,116544
"West Valley City city, Utah",49,83470,139094
"Burlington city, Vermont",50,10675,44783
"South Burlington city, Vermont",50,66175,24218
"Alexandria city, Virginia",51,01000,154706
"Annandale CDP, Virginia",51,01912,43941
"Arlington CDP, Virginia",51,03000,232965
"Ashburn CDP, Virginia",51,03320,46095
"Bailey's Crossroads CDP, Virginia",51,04088,24181
"Blacksburg town, Virginia",51,07784,44955
"Bon Air CDP, Virginia",51,08472,20997
"Brambleton CDP, Virginia",51,09188,23747
"Buckhall CDP, Virginia",51,10776,21666
"Burke CDP, Virginia",51,11464,43538
"Cave Spring CDP, Virginia",51,13720,25760
"Centreville CDP, Virginia",51,14440,75010
"Chantilly CDP, Virginia",51,14744,24365
"Charlottesville city, Virginia",51,14968,45672
"Cherry Hill CDP, Virginia",51,15176,24878
"Chesapeake city, Virginia",51,16000,251269
"Chester CDP, Virginia",51,16096,22654
"Christiansburg town, Virginia",51,16608,24118
"Dale City CDP, Virginia",51,21088,79782
"Danville city, Virginia",51,21344,42215
"Fairfax city, Virginia",51,26496,24276
"Fair Oaks CDP, Virginia",51,26875,32077
"Franconia CDP, Virginia",51,29552,19984
"Fredericksburg city, Virginia",51,29744,28367
"Hampton city, Virginia",51,35000,137746
"Harrisonburg city, Virginia",51,35624,51430
"Herndon town, Virginia",51,36648,24340
"Hopewell city, Virginia",51,38424,21219
"Kingstowne CDP, Virginia",51,42746,20775
"Lake Ridge CDP, Virginia",51,43432,45780
"Leesburg town, Virginia",51,44984,48903
"Leesylvania CDP, Virginia",51,45008,21727
"Lincolnia CDP, Virginia",51,45784,21006
"Linton Hall CDP, Virginia",51,45957,41132
"Lorton CDP, Virginia",51,47064,20652
"Lynchburg city, Virginia",51,47672,79009
"McLean CDP, Virginia",51,48376,50254
"McNair CDP, Virginia",51,48450,20112
"Manassas city, Virginia",51,48952,42708
"Meadowbrook CDP, Virginia",51,50568,20354
"Mechanicsville CDP, Virginia",51,50856,38844
"Montclair CDP, Virginia",51,52658,22536
"Newport News city, Virginia",51,56000,184587
"Norfolk city, Virginia",51,57000,235089
"Oakton CDP, Virginia",51,58472,32765
"Petersburg city, Virginia",51,61832,33429
"Portsmouth city, Virginia",51,64000,97840
"Reston CDP, Virginia",51,66672,60535
"Richmond city, Virginia",51,67000,226604
"Roanoke city, Virginia",51,68000,98865
"Rose Hill CDP (Fairfax County), Virginia",51,68880,19850
"Salem city, Virginia",51,70000,25373
"Short Pump CDP, Virginia",51,72272,31786
"South Riding CDP, Virginia",51,74100,32919
"Springfield CDP, Virginia",51,74592,31454
"Staunton city, Virginia",51,75216,25661
"Sterling CDP, Virginia",51,75376,28589
"Suffolk city, Virginia",51,76432,96194
"Tuckahoe CDP, Virginia",51,79560,48417
"Tysons CDP, Virginia",51,79950,25270
"Virginia Beach city, Virginia",51,82000,457672
"Waynesboro city, Virginia",51,83680,22550
"West Falls Church CDP, Virginia",51,84368,30343
"West Springfield CDP, Virginia",51,84976,24319
"Winchester city, Virginia",51,86720,28136
"Woodbridge CDP, Virginia",51,87312,41269
"Woodlawn CDP (Fairfax County), Virginia",51,87410,22226
"Aberdeen city, Washington",53,00100,20046
"Arlington city, Washington",53,02585,23236
"Auburn city, Washington",53,03180,87061
"Bainbridge Island city, Washington",53,03736,24556
"Battle Ground city, Washington",53,04475,19337
"Bellevue city, Washington",53,05210,149429
"Bellingham city, Washington",53,05280,92290
"Bonney Lake city, Washington",53,07170,19565
"Bothell city, Washington",53,07380,51331
"Bothell West CDP, Washington",53,07395,21698
"Bremerton city, Washington",53,07695,44116
"Burien city, Washington",53,08850,51066
"Camas city, Washington",53,09480,27061
"Centralia city, Washington",53,11160,21116
"Cottage Lake CDP, Washington",53,14940,23518
"Covington city, Washington",53,15290,22332
"Des Moines city, Washington",53,17635,32684
"Eastmont CDP, Washington",53,19630,25130
"Edmonds city, Washington",53,20750,42762
"Ellensburg city, Washington",53,21240,19768
"Everett city, Washington",53,22640,110820
"Federal Way city, Washington",53,23515,99028
"Five Corners CDP, Washington",53,24188,21496
"Frederickson CDP, Washington",53,25475,23455
"Graham CDP, Washington",53,27785,37905
"Hazel Dell CDP, Washington",53,30305,22652
"Issaquah city, Washington",53,33805,39500
"Kenmore city, Washington",53,35170,24133
"Kennewick city, Washington",53,35275,84478
"Kent city, Washington",53,35415,134837
"Kirkland city, Washington",53,35940,92105
"Lacey city, Washington",53,36745,54472
"Lake Stevens city, Washington",53,37900,36283
"Lakewood city, Washington",53,38038,63331
"Longview city, Washington",53,40245,37834
"Lynnwood city, Washington",53,40840,40585
"Maple Valley city, Washington",53,43150,28155
"Martha Lake CDP, Washington",53,43815,24724
"Marysville city, Washington",53,43955,71151
"Mercer Island city, Washington",53,45005,25441
"Mill Creek city, Washington",53,45865,20035
"Mill Creek East CDP, Washington",53,45870,26972
"Monroe city, Washington",53,46685,19366
"Moses Lake city, Washington",53,47245,25585
"Mountlake Terrace city, Washington",53,47490,19978
"Mount Vernon city, Washington",53,47560,35421
"Mukilteo city, Washington",53,47735,24730
"North Lynnwood CDP, Washington",53,49940,20947
"Oak Harbor city, Washington",53,50360,24710
"Olympia city, Washington",53,51300,55913
"Orchards CDP, Washington",53,51795,33127
"Parkland CDP, Washington",53,53335,40301
"Pasco city, Washington",53,53545,84190
"Port Angeles city, Washington",53,55365,23078
"Pullman city, Washington",53,56625,32883
"Puyallup city, Washington",53,56695,42791
"Redmond city, Washington",53,57535,76360
"Renton city, Washington",53,57745,105200
"Richland city, Washington",53,58235,61944
"Salmon Creek CDP, Washington",53,61000,20669
"Sammamish city, Washington",53,61115,66630
"SeaTac city, Washington",53,62288,30756
"Seattle city, Washington",53,63000,733904
"Shoreline city, Washington",53,63960,57934
"Silverdale CDP, Washington",53,64365,23577
"Silver Firs CDP, Washington",53,64380,23295
"South Hill CDP, Washington",53,65922,66875
"Spanaway CDP, Washington",53,66255,33480
"Spokane city, Washington",53,67000,229065
"Spokane Valley city, Washington",53,67167,105912
"Tacoma city, Washington",53,70000,219203
"Tukwila city, Washington",53,72625,20431
"Tumwater city, Washington",53,72905,25836
"Union Hill-Novelty Hill CDP, Washington",53,73307,24302
"University Place city, Washington",53,73465,34902
"Vancouver city, Washington",53,74060,192176
"Walla Walla city, Washington",53,75775,33925
"Wenatchee city, Washington",53,77105,35407
"Yakima city, Washington",53,80010,96565
"Charleston city, West Virginia",54,14600,48021
"Huntington city, West Virginia",54,39460,47115
"Martinsburg city, West Virginia",54,52060,23828
"Morgantown city, West Virginia",54,55756,29224
"Parkersburg city, West Virginia",54,62140,29392
"Wheeling city, West Virginia",54,86452,26436
"Appleton city, Wisconsin",55,02375,72951
"Beloit city, Wisconsin",55,06500,36601
"Brookfield city, Wisconsin",55,10025,41464
"Caledonia village, Wisconsin",55,11950,25224
"De Pere city, Wisconsin",55,19775,25332
"Eau Claire city, Wisconsin",55,22300,69196
"Fitchburg city, Wisconsin",55,25950,30671
"Fond du Lac city, Wisconsin",55,26275,44599
"Franklin city, Wisconsin",55,27300,36633
"Green Bay city, Wisconsin",55,31000,107020
"Greenfield city, Wisconsin",55,31175,37355
"Howard village, Wisconsin",55,35950,22705
"Janesville city, Wisconsin",55,37825,65953
"Kenosha city, Wisconsin",55,39225,99285
"La Crosse city, Wisconsin",55,40775,52186
"Madison city, Wisconsin",55,48000,269162
"Manitowoc city, Wisconsin",55,48500,34550
"Menomonee Falls village, Wisconsin",55,51000,38911
"Mequon city, Wisconsin",55,51150,25199
"Middleton city, Wisconsin",55,51575,20957
"Milwaukee city, Wisconsin",55,53000,569326
"Mount Pleasant village, Wisconsin",55,54875,27642
"Muskego city, Wisconsin",55,55275,25248
"Neenah city, Wisconsin",55,55750,27532
"New Berlin city, Wisconsin",55,56375,40378
"Oak Creek city, Wisconsin",55,58800,36257
"Oconomowoc city, Wisconsin",55,59250,20151
"Oshkosh city, Wisconsin",55,60500,66594
"Pleasant Prairie village, Wisconsin",55,63300,20771
"Racine city, Wisconsin",55,66000,77131
"Sheboygan city, Wisconsin",55,72975,49929
"South Milwaukee city, Wisconsin",55,75125,22257
"Stevens Point city, Wisconsin",55,77200,25698
"Sun Prairie city, Wisconsin",55,78600,36192
"Superior city, Wisconsin",55,78650,25287
"Watertown city, Wisconsin",55,83975,22943
"Waukesha city, Wisconsin",55,84250,71254
"Wausau city, Wisconsin",55,84475,39583
"Wauwatosa city, Wisconsin",55,84675,47743
"West Allis city, Wisconsin",55,85300,59484
"West Bend city, Wisconsin",55,85350,31718
"Casper city, Wyoming",56,13150,60240
"Cheyenne city, Wyoming",56,13900,65048
"Gillette city, Wyoming",56,31855,33061
"Laramie city, Wyoming",56,45050,28531
"Rock Springs city, Wyoming",56,67235,20787
"Sheridan city, Wyoming",56,69845,20724
"Arecibo zona urbana, Puerto Rico",72,03368,41914
"Bayamón zona urbana, Puerto Rico",72,06593,168592
"Caguas zona urbana, Puerto Rico",72,10334,76577
"Carolina zona urbana, Puerto Rico",72,14290,141050
"Cataño zona urbana, Puerto Rico",72,15193,22861
"Fajardo zona urbana, Puerto Rico",72,27964,24097
"Guayama zona urbana, Puerto Rico",72,32221,21016
"Guaynabo zona urbana, Puerto Rico",72,32522,72088
"Mansión del Mar comunidad, Puerto Rico",72,50260,26070
"Mayagüez zona urbana, Puerto Rico",72,52431,60081
"Ponce zona urbana, Puerto Rico",72,63820,112005
"San Juan zona urbana, Puerto Rico",72,76770,320456
"Trujillo Alto zona urbana, Puerto Rico",72,83606,43373
"Vega Baja zona urbana, Puerto Rico",72,85326,21404
