City_ID,NAME,DP02_0001E,state,place,DP02_0025E
119,"Spokane city, Washington",94748,53,67000,91829
120,"Spokane Valley city, Washington",44047,53,67167,42687
121,"Columbia city, South Carolina",51455,45,16000,57450
122,"Parma city, Ohio",33401,39,61000,32463
123,"Jackson city, Tennessee",26505,47,37640,23859
124,"Salt Lake City city, Utah",89839,49,67000,87244
125,"Sandy city, Utah",33587,49,67440,37152
126,"Bellevue city, Washington",61440,53,05210,63994
127,"Garland city, Texas",77777,48,29000,89258
128,"Kirkland city, Washington",37746,53,35940,36990
129,"Beaverton city, Oregon",42858,41,05350,39922
130,"Bend city, Oregon",44620,41,05800,43147
131,"Cranston city, Rhode Island",33049,44,19180,36219
132,"Wilmington city, North Carolina",59341,37,74440,49240
133,"Erie city, Pennsylvania",38636,42,24000,36791
134,"Johnson City city, Tennessee",30806,47,38320,27723
135,"Yonkers city, New York",81397,36,84000,81898
136,"Toledo city, Ohio",120895,39,77000,105899
137,"South Jordan city, Utah",25502,49,70850,27437
138,"Bellingham city, Washington",40653,53,05280,39467
139,"El Paso city, Texas",242529,48,24000,260851
140,"Georgetown city, Texas",30207,48,29336,29128
141,"Appleton city, Wisconsin",29204,55,02375,28550
142,"Irving city, Texas",95309,48,37000,98353
143,"Laredo city, Texas",76095,48,41464,93577
144,"Mesquite city, Texas",52023,48,47892,53304
145,"Tacoma city, Washington",88819,53,70000,89111
146,"Midland city, Texas",52898,48,48072,51639
147,"Santa Fe city, New Mexico",40641,35,70500,35082
148,"Winston-Salem city, North Carolina",101551,37,75000,94351
149,"Pawtucket city, Rhode Island",29735,44,54640,30055
150,"Providence city, Rhode Island",68179,44,59000,76811
151,"Abilene city, Texas",48398,48,01000,52074
152,"North Charleston city, South Carolina",47324,45,50875,43901
153,"Layton city, Utah",27176,49,43660,31525
154,"Lehi city, Utah",22067,49,44320,27862
155,"Dale City CDP, Virginia",22465,51,21088,29886
156,"Hampton city, Virginia",58181,51,35000,53621
157,"Madison city, Wisconsin",123938,55,48000,114164
158,"Mission city, Texas",28128,48,48768,33419
159,"Missouri City city, Texas",29801,48,48804,28215
160,"Richardson city, Texas",45148,48,61796,45925
161,"Warwick city, Rhode Island",36595,44,74300,33357
162,"Rochester city, New York",93263,36,63000,82434
163,"Knoxville city, Tennessee",85151,47,40000,79691
164,"League City city, Texas",44419,48,41980,43462
165,"Leander city, Texas",24031,48,42016,25359
166,"Ponce zona urbana, Puerto Rico",,72,63820,
167,"Waukesha city, Wisconsin",31139,55,84250,28437
168,"Gresham city, Oregon",43487,41,31250,44009
169,"Dayton city, Ohio",55114,39,21000,50848
170,"Allentown city, Pennsylvania",47204,42,02000,48904
171,"Portland city, Oregon",286734,41,59000,274072
172,"Bethlehem city, Pennsylvania",30099,42,06088,31970
173,"Tulsa city, Oklahoma",173943,40,75000,160796
174,"Baytown city, Texas",28264,48,06128,28321
175,"Brownsville city, Texas",56522,48,10768,67222
176,"Alexandria city, Virginia",72024,51,01000,61885
177,"Grand Prairie city, Texas",64208,48,30464,74609
178,"Everett city, Washington",45029,53,22640,46922
179,"Philadelphia city, Pennsylvania",660921,42,60000,603038
180,"Newport News city, Virginia",77489,51,56000,70208
181,"Green Bay city, Wisconsin",46857,55,31000,43190
182,"Lewisville city, Texas",46897,48,42508,43723
183,"Vancouver city, Washington",81814,53,74060,80174
184,"Milwaukee city, Wisconsin",232362,55,53000,211765
185,"Round Rock city, Texas",49740,48,63500,50742
186,"Hillsboro city, Oregon",40891,41,34100,45729
187,"Franklin city, Tennessee",33275,47,27740,33625
188,"Beaumont city, Texas",46375,48,07000,42339
189,"Bryan city, Texas",32910,48,10912,35133
190,"College Station city, Texas",41586,48,15976,51790
191,"Federal Way city, Washington",35047,53,23515,38893
192,"Pittsburgh city, Pennsylvania",136747,42,61000,126448
193,"Norfolk city, Virginia",97596,51,57000,102958
194,"Guaynabo zona urbana, Puerto Rico",,72,32522,
195,"Pasco city, Washington",25084,53,53545,30939
196,"Suffolk city, Virginia",37383,51,76432,37233
197,"San Angelo city, Texas",39065,48,64472,40344
198,"San Antonio city, Texas",549245,48,65000,564748
199,"San Marcos city, Texas",27015,48,65600,27519
200,"Broken Arrow city, Oklahoma",45138,40,09050,44114
201,"Mount Vernon city, New York",26465,36,49121,27446
202,"Allen city, Texas",37461,48,01924,42261
203,"Arlington CDP, Virginia",108396,51,03000,99050
204,"Conroe city, Texas",37297,48,16432,37610
205,"New Braunfels city, Texas",37815,48,50820,37489
206,"Canton city, Ohio",31168,39,12000,27993
207,"Salem city, Oregon",64959,41,64900,69661
208,"West Jordan city, Utah",36309,49,82950,44726
