name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id,Incomplete,Population  , Population Density per km2 , Population Density per mile2 , Target population percentage  , TOTAL Brew Population Age Bracket population  ,male_brew_age,Median Income 12 mths ,Total: - white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:
927 Beer Company,micro,821 Cornwall St,Cambria,California,93428-2434,-121.0985408,35.5666725,California,93428,177,,"5,951",29,11,11%,1315,663,39512,2503,25,112,1080
95ate5 Brewpub,brewpub,9585 N Industrial Dr,Saint John,Indiana,46373,-87.46380305,41.44400246,Indiana,46373,178,,"17,839",612,236,17%,6105,3038,51305,5583,172,340,1152
A Homestead Brew,micro,26685 486th Ave,Valley Springs,South Dakota,57068-7309,-96.49421923,43.51733014,South Dakota,57068,180,,"1,707",14,5,31%,732,530,49208,590,37,35,178
Aardwolf Brewing Company,micro,1461 Hendricks Ave,Jacksonville,Florida,32207-8622,-81.6545197,30.3108962,Florida,32207,182,,"36,207","1,239",478,21%,15378,7728,32082,11119,385,974,5504
Allentown Brew Works,brewpub,812 Hamilton St,Allentown,Pennsylvania,18101-2437,-75.4575021,40.6060468,Pennsylvania,18101,274,INCOMPLETE,,"6,836",2639,,,,,,,,
Fegley's Brew Works,brewpub,812 Hamilton St,Allentown,Pennsylvania,18101-2437,-75.4575021,40.6060468,Pennsylvania,18101,2599,INCOMPLETE,,"6,836",2639,,,,,,,,
Aberrant Ales,brewpub,219 W Grand River Ave,Howell,Michigan,48843,-83.93094539,42.60773722,Michigan,48843,187,,"47,704",200,77,19%,17887,9220,40144,17009,864,1309,5560
Abide Brewing Company,micro,110 Werz Industrial Blvd Ste 130,Newnan,Georgia,30263-5802,-84.76356641,33.40257035,Georgia,30263,188,,"60,467",115,45,21%,24326,12421,35846,15584,459,1442,4065
Abigaile,brewpub,1301 Manhattan Ave,Hermosa Beach,California,90254-3666,-118.4048656,33.8734519,California,90254,189,,"19,736","5,345",2064,29%,10351,5778,83455,7629,183,274,3756
Able Ebenezer Brewing Company,micro,31 Columbia Cir,Merrimack,New Hampshire,03054-4161,-71.493705,42.851742,New Hampshire,3054,193,,"26,622",317,122,21%,10263,5488,51846,9199,265,842,2643
Able Seedhouse and Brewery,micro,1121 Quincy St NE,Minneapolis,Minnesota,55413-2773,-93.2510686,44.9993934,Minnesota,55413,194,,"13,914","1,760",679,33%,7860,4537,40280,5533,205,261,3397
Abnormal Beer Company,micro,16990 Via Tazon Ste 123,San Diego,California,92127-1649,-117.08575,33.02391,California,92127,196,,"52,274",866,334,20%,21459,10522,66959,9263,313,1168,2020
Abolitionist Ale Works,brewpub,129 W Washington St,Charles Town,West Virginia,25414-1529,-77.8607888,39.28867207,West Virginia,25414,197,,"19,541",135,52,22%,8077,4221,38759,6466,177,535,2116
Abridged Beer Company,brewpub,100 Lockett Rd,Knoxville,Tennessee,37919-4807,-84.016459,35.932287,Tennessee,37919,198,,"30,822",602,232,19%,11427,6006,40201,12013,498,850,5295
