name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id,Incomplete,Population  , Population Density per km2 , Population Density per mile2 , Target population percentage  , TOTAL Brew Population Age Bracket population  ,male_brew_age,Median Income 12 mths ,Total: - white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:
Grillin & Chillin Alehouse,brewpub,401 McCray St # B24,Hollister,California,95023-2225,-121.398519,36.8518573,California,95023,3233,,"56,973",55,21,21%,22568,11811,36842,11116,790,1379,2305
Grimm Artisanal Ales,micro,990 Metropolitan Ave,Brooklyn,New York,11211-2607,-73.93651911,40.7142757,New York,11211,3234,,"68,540","17,493",6754,27%,34887,18349,46668,17527,377,1004,9350
Grind City Brewing Company,micro,76 Waterworks Ave,Memphis,Tennessee,38107-1806,-90.0434951,35.1697202,Tennessee,38107,3236,,"15,655","1,068",412,19%,5988,3013,25055,1169,40,97,637
Grinderâs High Noon Brewery,brewpub,206 Choctaw St,Leavenworth,Kansas,66048-2821,-94.91052465,39.31683651,Kansas,66048,3237,,"36,628",103,40,24%,14264,8654,33694,11772,549,997,4023
Gritty McDuffs - Lewiston/Auburn,brewpub,68 Main St,Auburn,Maine,04210-5812,-70.22448665,44.0971728,Maine,4210,3246,,"24,061",155,60,19%,8750,4648,32998,9692,539,903,4329
Gritty McDuffs - Portland,brewpub,396 Fore St,Portland,Maine,04101-4026,-70.2533609,43.6564108,Maine,4101,3247,,"18,109","3,389",1309,29%,9645,5228,34784,8115,80,316,6247
Grixsen Brewing Co,closed,1001 SE Division St Ste 1,Portland,Oregon,97202-1076,-122.6554541,45.5052337,Oregon,97202,3248,,"43,193","2,678",1034,26%,22407,11026,39404,15723,608,1010,7386
Groggs Pinnacle Brewing Co,brewpub,1653 Carbonville Rd,Helper,Utah,84526-2504,-110.842552,39.625031,Utah,84526,3250,,"3,888",8,3,19%,1315,752,27348,1669,70,116,532
Ground Breaker Brewing,brewpub,715 SE Lincoln St,Portland,Oregon,97214-4600,-122.6583697,45.50809545,Oregon,97214,3252,,"28,403","3,803",1468,34%,18662,9656,48154,12607,404,416,7742
Groundswell Brewing Co,micro,10151 Prospect Ave,Santee,California,92071-4411,-116.9644235,32.8310696,California,92071,3254,,"60,163","1,226",473,20%,24312,12010,39085,17036,856,1938,4935
Grove Roots Brewing,micro,302 3rd St SW,Winter Haven,Florida,33880-3409,-81.73049326,28.01977247,Florida,33880,3256,,"42,005",517,200,21%,16736,8629,26321,9852,568,1586,3575
Growler Bay Brewing Co,planning,,Valdez,Alaska,99686-3716,-146.3493638,61.1299396,Alaska,99686,3257,,"4,007",1,0,21%,1588,836,43627,1402,87,61,513
Gruff Brewing Company,micro,104 E Maple St # 101,Bellingham,Washington,98225-5006,-122.4822547,48.7472243,Washington,98225,3259,,"49,078","1,537",594,18%,16568,8903,28159,18946,376,1192,11197
Gruhlke's Microbrewery / Bias Vineyards,brewpub,3166 Highway B,Berger,Missouri,63014-1418,-91.3352114,38.6769847,Missouri,63014,3260,,810,7,3,10%,178,84,35104,286,7,45,122
Gruit Brewing,micro,200 Anderson St,Portland,Maine,04101-2562,-70.255898,43.669074,Maine,4101,3261,,"18,109","3,389",1309,29%,9645,5228,34784,8115,80,316,6247
Grumpy Old Men Brewing,micro,1315 E Main St,Blue Ridge,Georgia,30513-8506,-84.33050832,34.85747136,Georgia,30513,3262,,"11,885",32,12,17%,3845,2026,27099,5302,117,507,1885
"Grumpy Troll, The",micro,105 S 2nd St,Mount Horeb,Wisconsin,53572-2105,-89.73830404,43.00841443,Wisconsin,53572,3263,,"10,549",40,16,21%,4161,2165,41664,3477,188,253,908
Guadalupe Brewery,micro,5674 El Camino Real Ste D,Carlsbad,California,92008-7130,-117.2735422,33.13885281,California,92008,3266,,"27,282","1,030",398,24%,11890,6546,47380,9861,211,834,4292
Guadalupe Mountain Brewing Company,brewpub,3404 National Parks Hwy,Carlsbad,New Mexico,88220-5349,-104.2240211,32.3821008,New Mexico,88220,3268,,"40,762",8,3,21%,15101,8391,34292,11802,997,1453,3701
"Guanella Pass Brewing Company, LLC",micro,501 Rose Street,Georgetown,Colorado,80444,-105.697303,39.705772,Colorado,80444,3270,,"1,171",11,4,29%,579,343,36859,514,13,17,307
Guinness Open Gate Brewery and Barrel House,large,5001 Washington Blvd,Halethorpe,Maryland,21227-5000,-76.69843865,39.222265,Maryland,21227,3273,,"35,837","1,174",453,22%,14639,7969,37114,9959,556,1094,4028
Gulf Coast Brewery LLC,micro,500 E Heinberg St,Pensacola,Florida,32502-4145,-87.20552274,30.41799103,Florida,32502,3274,,"4,277",547,211,22%,1423,949,31623,1392,54,36,930
City Built Brewing Company,brewpub,820 Monroe Ave NW Ste 155,Grand Rapids,Michigan,49503-1413,-85.65690065,42.96292134,Michigan,49503,1726,INCOMPLETE,,"1,968",760,,,,,,,,
Gun Flint Tavern,brewpub,111 W Wisconsin St,Grand Marais,Minnesota,55604-,-90.3348245,47.74937733,Minnesota,55604,3277,,"3,661",2,1,18%,1208,658,36392,1576,43,58,565
Gun Hill Brewing Co,micro,3227 Laconia Ave,Bronx,New York,10469-1403,-73.855814,40.8721114,New York,10469,3278,,"71,571","11,984",4627,19%,28493,13693,31871,4101,288,609,1454
Guns & Oil Brewery,micro,111 W 33rd St,Boise,Idaho,83714,-116.2389395,43.62136196,Idaho,83714,3281,,"26,181",179,69,19%,9352,4890,34286,10224,457,819,4146
Gunwhale Ales,micro,2960 Randolph Ave Unit A,Costa Mesa,California,92626-4312,-117.8872815,33.67899369,California,92626,3282,,"50,885","2,005",774,26%,24321,13143,46294,12859,617,897,5430
Gyppo Ale Mill,micro,,Whitethorn,California,95589-0627,-123.9430832,40.0237557,California,95589,3283,,"1,648",4,1,21%,611,352,15813,654,0,10,388
Gypsy Brewery,micro,3506 Vega Ave,Cleveland,Ohio,44113-4900,-81.70785488,41.47449194,Ohio,44113,3284,,"20,291","1,932",746,34%,11545,6803,43386,7141,158,403,5309
H2OPS LLC,planning,,Anaheim,California,92808-1225,-117.911732,33.8347516,California,92808,3287,,"20,056","1,660",641,23%,8756,4516,61852,5107,293,427,1338
Haas Innovations Brewing LLC,micro,1600 River Rd,Yakima,Washington,98902-1249,-120.530565,46.617844,Washington,98902,3288,,"47,589","1,905",735,19%,17705,9139,27595,11199,679,1302,4575
Habitat Brewing Co,micro,174 Broadway St,Asheville,North Carolina,28801-2305,-82.5533973,35.5986648,North Carolina,28801,3289,,"15,148","1,088",420,25%,6597,3769,29537,4991,106,206,3151
HailStorm Brewing Company,micro,8060 186th St,Tinley Park,Illinois,60487-9215,-87.81356158,41.55317823,Illinois,60487,3291,,"26,388","1,360",525,20%,9864,5276,51623,8235,136,561,1769
Haines Brewing Co,micro,327 Main St,Haines,Alaska,99827,-135.4551927,59.2357624,Alaska,99827,3292,,"2,165",0,0,22%,765,486,25078,686,27,58,250
Grand Rapids Brewing Company,brewpub,1 Ionia Ave SW Ste 100,Grand Rapids,Michigan,49503-5122,-85.65690065,42.96292134,Michigan,49503,3094,INCOMPLETE,,"1,968",760,,,,,,,,
Hair of the Dog Brewing Co,brewpub,61 SE Yamhill St,Portland,Oregon,97214-2134,-122.6655236,45.5160413,Oregon,97214,3294,,"28,403","3,803",1468,34%,18662,9656,48154,12607,404,416,7742
Hale's Ales Brewery and Pub,micro,4301 Leary Way NW,Seattle,Washington,98107-4538,-122.3655909,47.6592451,Washington,98107,3297,,"28,557","4,819",1861,32%,17152,9097,70627,11278,333,430,7163
Half Acre Beer Co,regional,4257 N Lincoln Ave,Chicago,Illinois,60618-2953,-87.6820201,41.9591945,Illinois,60618,3298,,"90,316","7,351",2838,29%,50266,26332,48184,25978,819,2025,11605
Half Barrel Beer Project,brewpub,9650 Universal Blvd Ste 143,Orlando,Florida,32819-9383,-81.46606722,28.43441073,Florida,32819,3299,,"30,857",537,207,20%,12160,6276,32271,6643,317,692,2241
Half Brothers Brewing Company,brewpub,17 N 3rd St,Grand Forks,North Dakota,58203-3713,-97.0315443,47.9256052,North Dakota,58203,3301,,"16,165",89,34,23%,5946,3643,26692,6137,234,361,3734
Half Day Brewing Company,brewpub,200 Village Grn,Lincolnshire,Illinois,60069-3028,-87.9330365,42.2031177,Illinois,60069,3302,,"8,735",552,213,17%,2604,1509,58279,2960,56,136,1220
Half Door Brewing Company,brewpub,903 Island Ave,San Diego,California,92101-7227,-117.156268,32.710248,California,92101,3303,,"47,505","3,091",1193,34%,26729,16087,52980,18181,141,439,13110
Half Full Brewery,micro,43 Homestead Ave,Stamford,Connecticut,06902-7204,-73.54959135,41.03933226,Connecticut,6902,3304,,"69,192","2,679",1034,24%,31638,16308,40732,14845,373,1073,6886
Hopcat,brewpub,25 Ionia Ave SW Ste 100,Grand Rapids,Michigan,49503-4179,-85.65690065,42.96292134,Michigan,49503,3570,INCOMPLETE,,"1,968",760,,,,,,,,
Half Lion Public House,brewpub,2019 W Meeker St,Kent,Washington,98032,-122.2629041,47.38103,Washington,98032,3306,,"38,744",887,343,25%,17694,9712,36655,7427,245,665,3766
Uncle Buck's Brewery And Steakhouse,brewpub,2501 Bass Pro Dr,Grapevine,Texas,76051-2009,-97.09657577,32.92974203,Texas,76051,7424,INCOMPLETE,,867,335,,,,,,,,
Half Moon Restaurant & Brewery,brewpub,4051 S Lafountain St,Kokomo,Indiana,46902-6913,-86.1281745,40.4362867,Indiana,46902,3308,,"36,038",276,107,18%,12994,6518,33886,13196,327,1765,4890
Halpatter Brewing Company,micro,264 NE Hernando Ave,Lake City,Florida,32055-4012,-82.63654594,30.19050388,Florida,32055,3311,,"16,624",34,13,20%,5879,3244,25039,4066,248,545,1655
Hamburger Mary's/Andersonville Brewing Company,brewpub,5402 N Clark St,Chicago,Illinois,60640-1210,-87.66855092,41.97997865,Illinois,60640,3314,,"65,941","11,108",4289,32%,37937,21332,44299,24266,245,820,16566
"Rocky Mountain Taphouse, LLC",micro,3050 67th Ave Ste 104,Greeley,Colorado,80634-9604,-104.7859342,40.387892,Colorado,80634,5983,INCOMPLETE,,608,235,,,,,,,,
Hammer & Forge Brewing Company,micro,70 Main Street,Boones Mill,Virginia,24064,-79.95438626,37.1151673,Virginia,24064,3316,,"5,017",59,23,18%,1736,912,35683,1642,26,115,290
HammerHeart Brewing Company,micro,7785 Lake Dr,Lino Lakes,Minnesota,55014-1109,-93.1064135,45.1890903,Minnesota,55014,3318,,"28,603",547,211,22%,11460,6396,43342,9758,354,770,2653
Hana Koa Brewing Company,brewpub,962 Kawaiahao St,Honolulu,Hawaii,96814,-157.852894,21.297494,Hawaii,96814,3319,,"24,870","7,249",2799,24%,10240,6040,38066,2243,45,92,1365
Broken Plow Brewery,micro,4731 W 10th St Unit G,Greeley,Colorado,80634-2046,-104.7540276,40.41169068,Colorado,80634,1373,INCOMPLETE,,608,235,,,,,,,,
Hand-Brewed Beer,micro,9771 Variel Ave,Chatsworth,California,91311-4315,-118.5930241,34.24766895,California,91311,3321,,"39,014",488,189,22%,16306,8470,43222,8560,527,995,2536
Hangar 24 Craft Brewery,regional,1710 Sessums Dr,Redlands,California,92374-1909,-117.1419134,34.0831712,California,92374,3322,,"43,587",970,374,21%,18168,9285,35043,9012,598,1222,2876
Hanging Hills Brewing Company,micro,150 Ledyard St,Hartford,Connecticut,06114-1403,-72.67011733,41.74481243,Connecticut,6114,3323,,"26,257","2,533",978,20%,11074,5319,23669,2632,198,517,1083
Hanging Horseshoe Brewing Company,micro,73892 332 Ave,Imperial,Nebraska,69033,-101.64814,40.536221,Nebraska,69033,3324,,"2,574",3,1,20%,868,517,33272,963,58,73,298
Hank Is Wiser Brewery,brewpub,213 N Main St,Cheney,Kansas,67025-9730,-97.7812689,37.62820924,Kansas,67025,3326,,"3,953",13,5,18%,1330,700,31949,1234,8,117,336
Hansa Brewery,brewpub,2717 Lorain Ave,Cleveland,Ohio,44113-3414,-81.70479139,41.48344207,Ohio,44113,3327,,"20,291","1,932",746,34%,11545,6803,43386,7141,158,403,5309
Zambaldi Beer,contract,,Green Bay,Wisconsin,54305-0246,-88.0114646,44.5027398,Wisconsin,54305,7913,INCOMPLETE,,,,,,,,,,,
Hapa's Brewing Company,micro,460 Lincoln Ave # 90,San Jose,California,95126-3702,-121.888991,37.2917841,California,95126,3329,,"37,372","4,243",1638,29%,19457,10671,61004,8204,314,457,4183
Happy Basset Brewing Company,micro,6044 SW 29th St,Topeka,Kansas,66614-4268,-95.7637047,39.01466361,Kansas,66614,3330,,"31,332",535,206,19%,11743,5841,39258,12608,354,1196,5695
Harbinger Beer Company LLC,planning,111 Buffalo St,Caddo,Oklahoma,74729-2606,-96.2601872,34.1253524,Oklahoma,74729,3334,,"2,829",7,3,17%,897,487,27176,774,23,86,174
Harbor Head Brewing Co,micro,81 Fort Salonga Rd,Northport,New York,11768-2889,-73.3539709,40.8908555,New York,11768,3335,,"21,433",541,209,17%,6840,3579,59298,7669,68,734,2018
Harbor Mountain Brewing Co,micro,1209 Sawmill Creek Rd Ste A,Sitka,Alaska,99835-9759,-135.309951,57.049586,Alaska,99835,3336,,"8,446",1,1,22%,3470,1851,40042,2512,63,145,876
Hardwood Bar and Smokery,brewpub,680 8th St Ste 170,San Francisco,California,94103,-122.404927,37.77073989,California,94103,3338,,"37,843","9,114",3519,33%,20405,12390,52974,7154,139,215,5369
Hardywood Park Craft Brewery-Charlottesville,micro,1000 W Main St,Charlottesville,Virginia,22903-3277,-78.49505511,38.03257623,Virginia,22903,3340,,"42,170",223,86,19%,15522,8051,32050,11514,615,363,6607
Hare In the Forest,micro,9311 Gibson Ln,Potter Valley,California,95469-8799,-123.1252703,39.33623934,California,95469,3342,,"1,855",3,1,15%,456,269,35469,534,15,5,245
Harlem Brewing Co,contract,2 W 123rd St,New York,New York,10027-5623,-73.94532799,40.8058068,New York,10027,3344,,"64,037","26,974",10414,23%,29764,14835,32589,7553,247,405,4448
Pig Pounder Brewery,micro,1107 Grecade St,Greensboro,North Carolina,27408-8709,-79.804196,36.084466,North Carolina,27408,5461,INCOMPLETE,,850,328,,,,,,,,
Harmonic Brewing,micro,1050 26th St,San Francisco,California,94107-3513,-122.3900962,37.75149961,California,94107,3346,,"34,012","5,952",2298,31%,18432,10447,98245,8299,66,269,4947
Harmony Brewing Co,brewpub,1551 Lake Dr SE,Grand Rapids,Michigan,49506-2705,-85.63066846,42.95501346,Michigan,49506,3347,,"33,050","1,785",689,22%,14173,7199,39058,10279,362,382,3300
Harmony Brewing Company - Harmony Hall,brewpub,401 Stocking Ave NW,Grand Rapids,Michigan,49504-5501,-85.684118,42.970732,Michigan,49504,3348,,"41,249","1,416",547,20%,16645,8441,29112,13850,466,1325,6704
Harpers Restaurant and Brewpub,brewpub,131 Albert Ave,East Lansing,Michigan,48823-4315,-84.48282452,42.73626665,Michigan,48823,3349,,"51,793",841,325,15%,14718,7759,20936,16939,410,918,9853
Harpoon Brewery,regional,306 Northern Ave Ste 2,Boston,Massachusetts,02210-2367,-71.0348293,42.3465637,Massachusetts,2210,3350,,"5,808","2,021",780,32%,2987,1859,104435,2597,40,23,1773
Brewery 85,micro,6 Whitlee Ct,Greenville,South Carolina,29607-3791,-82.34915005,34.8028183,South Carolina,29607,1264,INCOMPLETE,,554,214,,,,,,,,
Harsens Island Beer Co.,brewpub,808 Gratiot Blvd,Marysville,Michigan,48040-1127,-82.47149301,42.92247389,Michigan,48040,3352,,"9,994",554,214,17%,3573,1743,34155,4215,275,377,1480
Harvest Moon Brewery/Cafe,brewpub,392 George St,New Brunswick,New Jersey,08901-2018,-74.4442058,40.4962516,New Jersey,8901,3354,,"56,278","3,528",1362,19%,19453,10543,23395,8319,538,1806,3429
Harvest Moon Brewing,micro,7 5th St S,Belt,Montana,59412-0510,-110.9298527,47.38221919,Montana,59412,3355,,"1,680",2,1,15%,516,255,35878,575,33,39,168
Harvest Seasonal Kitchen,brewpub,112 E Louisiana St,McKinney,Texas,75069-4412,-96.615387,33.197177,Texas,75069,3356,,"39,084",430,166,17%,13539,6682,33644,11671,470,1406,4112
Hasseman Brewing,micro,115 S 6th St,Coshocton,Ohio,43812-1625,-81.86176557,40.27239943,Ohio,43812,3357,,"18,669",46,18,18%,6489,3443,26315,7392,291,933,2732
Haw River Farmhouse Ales,micro,1713 Saxapahaw-Bethlehem Church Rd,Saxapahaw,North Carolina,27340-0390,-79.31872,35.946942,North Carolina,27340,3359,,149,22,8,14%,8,21,,15,0,0,7
Hawaii Nui Brewing,closed,275 E Kawili St,Hilo,Hawaii,96720-5074,-155.0697885,19.70587596,Hawaii,96720,3360,,"46,615",67,26,20%,17973,9438,31839,4162,104,685,1693
Pitt Street Brewing Company,micro,630 S Pitt St,Greenville,North Carolina,27834-3159,-77.37694822,35.6095883,North Carolina,27834,5501,INCOMPLETE,,124,48,,,,,,,,
Hawksbill Brewing Company,micro,22 Zerkel St,Luray,Virginia,22835-1913,-78.45970045,38.66335774,Virginia,22835,3363,,"11,561",31,12,20%,4190,2283,27951,4651,262,395,1736
Hay Camp Brewing Company,micro,601 Kansas City St,Rapid City,South Dakota,57701-3622,-103.227816,44.07889,South Dakota,57701,3364,,"46,258",334,129,19%,17215,9000,28773,15079,461,1336,7251
Hayes Public House,micro,112 1st St S,Buffalo,Minnesota,55313-1402,-93.87452922,45.17084806,Minnesota,55313,3365,,"24,406",90,35,20%,9311,4943,39171,9016,310,627,2578
Haymarket Brewery and Taproom,micro,9301 Red Arrow Hwy,Bridgman,Michigan,49106-9558,-86.55947806,41.94715363,Michigan,49106,3367,,"4,822",140,54,21%,1784,1019,30494,2033,133,85,634
Haymarket Pub and Brewery,brewpub,737 W Randolph St,Chicago,Illinois,60661-2103,-87.6472956,41.8841895,Illinois,60661,3368,,"11,987","13,991",5402,40%,8516,4737,96629,4311,19,61,3032
Haywire Brewing Company,micro,12125 Treosti Rd,Snohomish,Washington,98290-6918,-122.0812498,47.8860915,Washington,98290,3369,,"37,535",127,49,22%,15317,8280,49402,12743,463,1027,3337
HeadFlyer Brewing,micro,861 E Hennepin Ave,Minneapolis,Minnesota,55414-1201,-93.2437012,44.9917415,Minnesota,55414,3371,,"36,600","3,929",1517,16%,9431,5690,17622,8625,128,228,6804
Headlands Brewing Company,proprietor,,Mill Valley,California,94941-2003,-122.5449763,37.9060368,California,94941,3372,,"31,480",335,129,19%,12023,5987,84987,10939,384,950,3483
Headless Mumby Brewing,micro,232 Division St NW,Olympia,Washington,98502,-122.92562,47.04735502,Washington,98502,3373,,"35,698",219,85,23%,14945,8077,38632,12004,514,1263,4776
HeadStrong Brewery,micro,126 N 3rd St,Douglas,Wyoming,82633-2163,-105.3842083,42.76025521,Wyoming,82633,3374,,"9,764",1,1,21%,3671,2010,39816,3918,136,190,1498
Headtrip Brewery,micro,1634 Norton Rd,Stow,Ohio,44224-1412,-81.442913,41.202942,Ohio,44224,3375,,"38,709",742,287,20%,14856,7663,39212,14556,578,1025,5304
Headworks Brewing,micro,1110 Marshall Ave,Enumclaw,Washington,98022-3525,-121.987758,47.205096,Washington,98022,3376,,"22,874",12,5,19%,7925,4296,45880,7776,330,524,2691
Heater Allen Brewery,micro,907 NE 10th Ave,McMinnville,Oregon,97128-4003,-123.1879728,45.21407234,Oregon,97128,3379,,"38,394",133,51,18%,13269,6982,32204,12179,333,1857,4560
Heathen Brewing,micro,2225 NE 119th St Ste 109,Vancouver,Washington,98686,-122.6482176,45.70807949,Washington,98686,3380,,"21,462",681,263,21%,8279,4403,43234,6654,268,628,1845
Heaven & Ale Brewing Co,brewpub,300 Cherokee Blvd Ste 101,Chattanooga,Tennessee,37405-3811,-85.311847,35.064349,Tennessee,37405,3381,,"18,231",134,52,26%,9065,4714,41188,7537,210,426,4070
Heaven's Gate Brewery,micro,106 S Main St,Riggins,Idaho,83549,-116.314621,45.422235,Idaho,83549,3382,,836,0,0,9%,177,73,29333,276,0,28,89
Heavenly Vineyards,micro,15946 Jefferson Rd,Morley,Michigan,49336-9705,-85.463503,43.489827,Michigan,49336,3384,,"4,382",20,8,20%,1500,863,25798,1467,65,118,455
Quest Brewing Company,micro,55 Airview Dr,Greenville,South Carolina,29607-2632,-82.34515691,34.8465767,South Carolina,29607,5660,INCOMPLETE,,554,214,,,,,,,,
Heavily Brewing Company,micro,2471 Hayes Rd,Montour Falls,New York,14865,-76.82625029,42.35452911,New York,14865,3386,,"2,598",48,18,20%,973,523,27109,1086,66,61,445
Heavy Riff Brewing,brewpub,6413 Clayton Ave,Saint Louis,Missouri,63139-3305,-90.29310035,38.62871654,Missouri,63139,3388,,"21,971","2,169",837,28%,12039,6245,43424,8756,258,536,4991
Heirloom Rustic Ales,micro,2113 E Admiral Blvd,Tulsa,Oklahoma,74110,-95.9610136,36.1601381,Oklahoma,74110,3390,,"15,197","1,016",392,20%,5960,3099,19024,2177,200,350,896
Heist Brewery,brewpub,2909 N Davidson St,Charlotte,North Carolina,28205-1190,-80.80904551,35.2451928,North Carolina,28205,3391,,"49,600","1,679",648,29%,27549,14153,36474,12461,339,746,6909
Helderberg Mountain Brewing Company,micro,83 Main St,East Berne,New York,12059-2020,-74.07306079,42.61509627,New York,12059,3393,,"1,482",25,10,25%,674,370,48125,617,22,63,130
Helicon Brewing,micro,102 Union Ave,Oakdale,Pennsylvania,15071-1328,-80.1847167,40.39628695,Pennsylvania,15071,3394,,"12,229",251,97,22%,5282,2750,46826,4503,80,249,1507
Helio Basin Brewing Company,brewpub,3935 E Thomas Rd,Phoenix,Arizona,85018-7511,-112.0028173,33.4804619,Arizona,85018,3395,,"37,944",961,371,25%,17109,9402,46737,14068,389,1182,6966
Helix Brewing Co,micro,8101 Commercial St,La Mesa,California,91942-2927,-117.023442,32.771907,California,91942,3396,,"40,813","2,734",1056,23%,18169,9329,39539,12530,497,1340,6234
Hell 'n Blazes Brewing Company,micro,1002 E New Haven Ave,Melbourne,Florida,32901-5437,-80.60455067,28.07835245,Florida,32901,3397,,"26,286",806,311,17%,8243,4544,23841,7955,205,758,3954
Hellbender Brewing Company,micro,5788 2nd St NE,Washington,District of Columbia,20011-2524,-77.0053314,38.9603005,District of Columbia,20011,3399,,"67,815","4,851",1873,25%,32019,16721,47063,6363,158,374,3109
Hellbent Brewing Company,micro,13035 Lake City Way NE,Seattle,Washington,98125-4428,-122.2931111,47.7238772,Washington,98125,3400,,"42,965","3,088",1192,27%,21050,11457,44561,13640,435,846,7066
"Helm's Brewing Company, LLC",closed,5640 Kearny Mesa Rd Ste C,San Diego,California,92111-1312,-117.1389741,32.8373435,California,92111,3402,,"46,686","2,247",868,26%,22020,11963,34857,10968,501,1341,4033
