name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code
Able Ebenezer Brewing Company,micro,31 Columbia Cir,Merrimack,New Hampshire,03054-4161,-71.493705,42.851742,New Hampshire,03054
Able Seedhouse and Brewery,micro,1121 Quincy St NE,Minneapolis,Minnesota,55413-2773,-93.2510686,44.9993934,Minnesota,55413
Abner's Restaurant Inc / Northern Michigan Beer,brewpub,7528 N Woodbridge (M37),Brohman,Michigan,49312,,,Michigan,49312
Abnormal Beer Company,micro,16990 Via Tazon Ste 123,San Diego,California,92127-1649,-117.08575,33.02391,California,92127
Abolitionist Ale Works,brewpub,129 W Washington St,Charles Town,West Virginia,25414-1529,-77.8607888,39.28867207,West Virginia,25414
Abridged Beer Company,brewpub,100 Lockett Rd,Knoxville,Tennessee,37919-4807,-84.016459,35.932287,Tennessee,37919
Absolution Brewing Co,micro,2878 Columbia St,Torrance,California,90503-3808,-118.3378601,33.8431391,California,90503
Absolution By the Sea,brewpub,7536 Fay Ave,La Jolla,California,92037-4839,-117.2740167,32.84083388,California,92037
Accomplice Beer Company,brewpub,115 W 15th St,Cheyenne,Wyoming,82001-4564,-104.819296,41.130063,Wyoming,82001
Acidulous Brewing Company,contract,6712 S Independence St,Littleton,Colorado,80128-4046,-105.1059543,39.5383949,Colorado,80128
Acopon Brewing Co,micro,211 W Mercer St,Dripping Springs,Texas,78620-5363,-98.09006208,30.19269957,Texas,78620
Acorn Brewing,micro,2105 Meridian Ave E,Edgewood,Washington,98371,-122.2934912,47.23859752,Washington,98371
Acoustic Ales Brewing Experiment,closed,1795 Hancock St Ste P1,San Diego,California,92110-2006,-117.1840465,32.74219079,California,92110
"Actual Brewing Company, LLC",micro,655 N James Rd,Columbus,Ohio,43219-1837,-82.9080986,39.9868523,Ohio,43219
Adam's Northwest Bistro / Twin Rivers Brewing,brewpub,104 N Lewis St,Monroe,Washington,98272-1502,-121.970887,47.85588471,Washington,98272
Adelbert's Brewery LLC,micro,2314 Rutland Dr Ste 100,Austin,Texas,78758-5273,-97.7201589,30.3826286,Texas,78758
Adirondack Pub and Brewery,micro,33 Canada St,Lake George,New York,12845-1603,-73.71407763,43.41850655,New York,12845
Adirondack Toboggan Company Microbrewery,micro,202A W Main St,Gouverneur,New York,13642-1334,-75.47489238,44.33237311,New York,13642
AdMerk Corp. Inc.,contract,20 F St NW,Washington,District of Columbia,20001-6700,-77.0094205,38.89742205,District of Columbia,20001
