City_ID,NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant
1159,"Randallstown CDP, Maryland",24,64950,38309,17915,20394,41.6,39.2,44.1,27779,2442,3087,2988,4425,3039,25537,85502,111250,63750,42555,26137,12003,12747,13978,13764,214
1160,"Reisterstown CDP, Maryland",24,65600,27779,13481,14298,39.8,32.8,40.8,67133,3541,9628,10876,9276,6725,7764,69780,146679,47216,48110,16397,8263,8421,10773,10394,379
1161,"Rockville city, Maryland",24,67675,67133,33882,33251,39.7,37.6,43.1,20828,1729,2862,3174,1765,4332,12493,118903,92727,26830,69456,42995,20603,20861,26760,25537,1223
1162,"Rosedale CDP, Maryland",24,68400,20828,9972,10856,42.5,40.2,50.2,32935,5159,4089,3943,3777,3465,6812,74852,81848,66486,47754,32369,6559,7859,8182,7764,418
1163,"Salisbury city, Maryland",24,69925,32935,14859,18076,31.6,31.5,31.6,20336,2052,3479,2552,2827,2352,20830,49517,62121,56263,22769,63047,9716,12173,13409,12493,916
1164,"Seabrook CDP, Maryland",24,70775,20336,9327,11009,35.8,31.7,40.6,54291,4124,10428,7741,6062,6878,14067,66613,134242,100381,37675,22257,6653,7092,7317,6812,505
1165,"Severn CDP, Maryland",24,71150,54291,26403,27888,35.4,34.5,36.9,41259,3372,2767,5858,6097,7266,33307,117030,180364,78984,67373,22525,17750,18112,21322,20830,492
1166,"Severna Park CDP, Maryland",24,71200,41259,20091,21168,42.3,39.2,44.3,80265,7821,12464,13549,8894,7620,11081,149740,112165,46354,72243,50487,13505,13274,14467,14067,400
1167,"Silver Spring CDP, Maryland",24,72450,80265,36995,43270,35.9,35.0,36.3,27496,2778,3854,5920,2310,3210,12081,84223,75055,48908,47467,64745,24279,27923,34703,33307,1396
1168,"South Laurel CDP, Maryland",24,73650,27496,13671,13825,36.9,36.5,37.7,26897,1983,4886,3726,2716,5023,23144,72493,76262,49505,40546,42600,8625,9734,11671,11081,590
