NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant,City,State
"Bryan city, Texas",48,10912,86851,43764,43087,31.2,30.0,32.7,52013.0,3395.0,6118.0,9157.0,7020.0,4279.0,14555.0,90242.0,93582.0,24146.0,30515,61229.0,29815,29153,37247,32910,4337,Bryan,Texas
"Burleson city, Texas",48,11428,52013,25635,26378,35.2,33.9,36.2,36864.0,1129.0,2408.0,4813.0,5734.0,6501.0,50308.0,86647.0,95625.0,35996.0,56464,27297.0,16320,16271,18310,17566,744,Burleson,Texas
"Canyon Lake CDP, Texas",48,12580,36864,18670,18194,47.5,48.6,46.0,132569.0,10107.0,20961.0,21698.0,16855.0,17698.0,14846.0,75999.0,137659.0,93425.0,50382,25781.0,11436,10858,16633,14555,2078,Canyon Lak,Texas
"Carrollton city, Texas",48,13024,132569,64534,68035,37.4,36.3,38.4,48421.0,4698.0,4665.0,6568.0,6279.0,4776.0,30407.0,114450.0,66375.0,53231.0,41589,24299.0,43067,48025,51894,50308,1586,Carrollton,Texas
"Cedar Hill city, Texas",48,13492,48421,22556,25865,32.7,23.9,35.4,78326.0,5849.0,11093.0,13742.0,10420.0,8740.0,13062.0,65478.0,118932.0,55745.0,43870,16944.0,12300,17171,15461,14846,615,Cedar Hill,Texas
"Cedar Park city, Texas",48,13552,78326,40614,37712,37.0,36.8,37.4,39472.0,4272.0,4605.0,5259.0,4499.0,2271.0,10891.0,96514.0,71502.0,20838.0,64972,99251.0,27203,24212,30710,30407,303,Cedar Park,Texas
"Channelview CDP, Texas",48,14236,39472,20870,18602,27.7,25.1,30.9,33475.0,3587.0,2534.0,6680.0,4750.0,3205.0,11797.0,64063.0,54116.0,36361.0,37368,21410.0,11638,10734,14275,13062,1213,Channelvie,Texas
"Cibolo city, Texas",48,14920,33475,16568,16907,36.4,36.3,36.5,31996.0,2725.0,3832.0,4771.0,3575.0,4621.0,7328.0,53365.0,84154.0,23313.0,56435,74100.0,11647,11300,11333,10891,442,Cibolo,Texas
"Cleburne city, Texas",48,15364,31996,17234,14762,37.5,34.7,41.1,23713.0,2062.0,3174.0,3038.0,2883.0,2761.0,41586.0,49215.0,216031.0,55467.0,37765,21730.0,10519,9537,12371,11797,574,Cleburne,Texas
"Cloverleaf CDP, Texas",48,15628,23713,11642,12071,31.8,32.4,31.2,120032.0,43556.0,17439.0,11726.0,8345.0,7771.0,8937.0,199907.0,95378.0,56713.0,30353,33001.0,7796,7119,7787,7328,459,Cloverlea,Texas
"College Station city, Texas",48,15976,120032,61402,58630,22.9,22.7,23.1,25978.0,1143.0,1701.0,4038.0,4441.0,4048.0,37297.0,68428.0,91368.0,61623.0,22973,28196.0,46528,44653,48960,41586,7374,College Station,Texas
"Colleyville city, Texas",48,15988,25978,13636,12342,47.5,44.7,49.9,94401.0,11693.0,15086.0,13535.0,10088.0,7850.0,10616.0,66907.0,145449.0,40549.0,73982,19156.0,8534,7771,9174,8937,237,Colleyville,Texas
"Conroe city, Texas",48,16432,94401,47750,46651,33.8,29.6,35.8,28645.0,2973.0,3907.0,4177.0,4123.0,3395.0,16405.0,114466.0,68601.0,40000.0,40708,251782.0,30333,30111,39740,37297,2443,Conroe,Texas
"Converse city, Texas",48,16468,28645,14312,14333,35.6,33.7,39.2,42126.0,1759.0,3688.0,7460.0,7513.0,6028.0,15231.0,65858.0,122614.0,26839.0,35967,18905.0,9782,9039,10616,10616,0,Converse,Texas
"Coppell city, Texas",48,16612,42126,22831,19295,42.9,42.0,43.7,37157.0,2105.0,6273.0,5807.0,5263.0,3302.0,9119.0,102135.0,70986.0,61787.0,61579,15502.0,15319,12375,16598,16405,193,Coppell,Texas
"Copperas Cove city, Texas",48,16624,37157,16914,20243,34.6,35.0,34.2,22607.0,1351.0,2409.0,3702.0,4025.0,4183.0,117366.0,59812.0,57319.0,66402.0,35802,1013782.0,11147,13135,15624,15231,393,Copperas Cove,Texas
"Corinth city, Texas",48,16696,22607,12707,9900,44.0,40.3,46.5,317768.0,32976.0,43998.0,43365.0,36905.0,36681.0,8771.0,46480.0,72729.0,54389.0,52059,25298.0,8618,7820,9329,9119,210,Corinth,Texas
"Corpus Christi city, Texas",48,17000,317768,156786,160982,36.4,35.4,37.8,25205.0,3215.0,2820.0,2611.0,2304.0,3233.0,6686.0,81169.0,66950.0,57568.0,36242,25728.0,102090,100815,137431,117366,20065,Corpus Christi,Texas
"Corsicana city, Texas",48,17060,25205,12978,12227,34.9,28.1,46.0,20368.0,1576.0,3144.0,3493.0,2986.0,1468.0,536008.0,57995.0,102644.0,28652.0,27421,20061.0,7077,7445,9716,8771,945,Corsicana,Texas
